PNR Number: 22517_20221101_1_2828_8				Train Number :22517				Date of Journey:2022-11-01
N                           				SL2193				7				SL
unPMfnm                     				SL2193				8				SU
EgkXN                       				SL2193				9				LB
Xg                          				SL2193				10				MB
zkpIhefbrg                  				SL2193				11				UB
oh                          				SL2193				12				LB
XwclAqpp                    				SL2193				13				MB
ZlAjFmaqifJm                				SL2193				14				UB
TDVDl                       				SL2193				15				LB
EPFaKZiDdnStM               				SL2193				16				MB
ZzuBOy                      				SL2193				17				UB
wl                          				SL2193				18				SL
tgsFrBoVHOJH                				SL2193				19				SU
Rbpf                        				SL2193				20				LB
XDp                         				SL2193				21				MB
twCGyT                      				SL2193				22				UB
fNiGCHZJCndVEdF             				SL2193				23				LB
aPzUMKLqANcAP               				SL2193				24				MB
FXcPSbXMuFcU                				SL2194				1				LB
clrvAdh                     				SL2194				2				MB
sIlrdTBtGXtfJ               				SL2194				3				UB
AYtjQ                       				SL2194				4				LB
gKqNVHOB                    				SL2194				5				MB
jFO                         				SL2194				6				UB
PcEfD                       				SL2194				7				SL
fiovFzAgpQhlWjG             				SL2194				8				SU
YNzFFvOrK                   				SL2194				9				LB
pw                          				SL2194				10				MB
lOCaUNTUz                   				SL2194				11				UB
WilamezhhiTuPXXx            				SL2194				12				LB




PNR Number: 4652_20221101_0_2100_6				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

TMYvZvWQQ                   				SL2100				6				UB
YQi                         				SL2100				7				SL
CfQxwtRmbQZiv               				SL2100				8				SU
cpldMmPD                    				SL2100				9				LB
Z                           				SL2100				10				MB
hVSeMTOOdBKBFlM             				SL2100				11				UB
dZGqtY                      				SL2100				12				LB
SWOSzOheuWntLrI             				SL2100				13				MB
x                           				SL2100				14				UB
aKzKQrumL                   				SL2100				15				LB
eqAUMp                      				SL2100				16				MB
iXamJbxSkPhGBL              				SL2100				17				UB
PkFiCtO                     				SL2100				18				SL
RXVT                        				SL2100				19				SU
Daj                         				SL2100				20				LB
TkQpGtvxXcYsdH              				SL2100				21				MB
nEN                         				SL2100				22				UB
ZuHmUJ                      				SL2100				23				LB
LFMN                        				SL2100				24				MB
AvkNrIwEJmMfUn              				SL2101				1				LB
sPOVfOKt                    				SL2101				2				MB
kpfeTeZQWuSxnw              				SL2101				3				UB
TItWCsxznF                  				SL2101				4				LB
ZMjSOimcuysEBpzz            				SL2101				5				MB
aWlewygxe                   				SL2101				6				UB
CM                          				SL2101				7				SL
tanSRxjLAS                  				SL2101				8				SU
wNqMdmsZsa                  				SL2101				9				LB
smXZVldTzOk                 				SL2101				10				MB
UDwIJdldvqSzd               				SL2101				11				UB
jRwYRjujaSRRrKp             				SL2101				12				LB
CPFxpbVAU                   				SL2101				13				MB
AjTI                        				SL2101				14				UB
XsLufVZBDMlDNYGf            				SL2101				15				LB
BYElwASkzvMBDfzw            				SL2101				16				MB
vHkEllGoiu                  				SL2101				17				UB
E                           				SL2101				18				SL
TyUJLZkQJ                   				SL2101				19				SU
MAQFWxXNlbvRTm              				SL2101				20				LB




PNR Number: 22517_20221101_1_2948_9				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

GjSjM                       				AC2948				9				SU
uSLg                        				AC2948				10				LB
GlorZeGAKqUC                				AC2948				11				LB
W                           				AC2948				12				UB
VhhP                        				AC2948				13				UB
PJdPjrtPF                   				AC2948				14				SL
GgBqDTK                     				AC2948				15				SU
BMuz                        				AC2948				16				LB
bbhuLK                      				AC2948				17				LB
yjpDktUlVqSHGz              				AC2948				18				UB
Zw                          				AC2949				1				UB
H                           				AC2949				2				SL
PFBV                        				AC2949				3				SU
gd                          				AC2949				4				LB
rjIw                        				AC2949				5				LB
MjqwX                       				AC2949				6				UB
RcrmY                       				AC2949				7				UB
hQPTb                       				AC2949				8				SL
eF                          				AC2949				9				SU
gPKcfpiTNEOriocC            				AC2949				10				LB
huBgCaLERMpPwJwM            				AC2949				11				LB
kAjW                        				AC2949				12				UB
GgOtptjmJv                  				AC2949				13				UB
YLkqwLoHM                   				AC2949				14				SL
RP                          				AC2949				15				SU
ZBwi                        				AC2949				16				LB
eXBYe                       				AC2949				17				LB
VQZjXrlBH                   				AC2949				18				UB
JcrXzsAieGihH               				AC2950				1				UB
pzu                         				AC2950				2				SL
dsieuvBIceuUoDca            				AC2950				3				SU
ACGsDBdOauxMQa              				AC2950				4				LB
qgA                         				AC2950				5				LB
vhowhOUsBNmhE               				AC2950				6				UB
Nfq                         				AC2950				7				UB




PNR Number: 22517_20221101_0_2236_15				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

DPf                         				SL2236				15				LB
Us                          				SL2236				16				MB
pjTxPzOZNzXlPac             				SL2236				17				UB
nYwWDWWIk                   				SL2236				18				SL
VqqBwk                      				SL2236				19				SU
zqShl                       				SL2236				20				LB
LrnxN                       				SL2236				21				MB
njOZzUKPsya                 				SL2236				22				UB
e                           				SL2236				23				LB
Jlz                         				SL2236				24				MB
ycsstzGz                    				SL2237				1				LB
lxKnxoRLtA                  				SL2237				2				MB




PNR Number: 22517_20221101_0_2259_7				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

hCTZCpnjVqG                 				SL2259				7				SL
iAoOzsVsx                   				SL2259				8				SU
nK                          				SL2259				9				LB
eHgxAl                      				SL2259				10				MB
BMliTXsFxyxCqyK             				SL2259				11				UB
ILJB                        				SL2259				12				LB
nSJEYcftSfzkDKqR            				SL2259				13				MB
fVdJsK                      				SL2259				14				UB
pZL                         				SL2259				15				LB
elrItWhXSUJTKI              				SL2259				16				MB
uFI                         				SL2259				17				UB
sOGyfNifbaAyRr              				SL2259				18				SL
TZjS                        				SL2259				19				SU
bvTX                        				SL2259				20				LB
aSGeYGtDqtQpuK              				SL2259				21				MB
jPOiTIeIWAC                 				SL2259				22				UB
WeuIwHfLiH                  				SL2259				23				LB
wJBnEnhg                    				SL2259				24				MB
HxD                         				SL2260				1				LB
plovZIbxRETYMvJ             				SL2260				2				MB
iKJwMblFLOHzvcvQ            				SL2260				3				UB
qdNhXxKMpPMKWJ              				SL2260				4				LB
LMGFBjMrIaHtYAly            				SL2260				5				MB
fiQenLHD                    				SL2260				6				UB
ElwLsLgi                    				SL2260				7				SL
hjRBopyRZShNsmY             				SL2260				8				SU




PNR Number: 22517_20221101_1_3023_2				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

WrxzRxTBr                   				AC3023				2				SL
tx                          				AC3023				3				SU
mbiSmGxVnDjRE               				AC3023				4				LB
fgJkIjy                     				AC3023				5				LB
uIiqndQwCHbCa               				AC3023				6				UB
GgvSevYunCoBvvg             				AC3023				7				UB
OwDoIsAe                    				AC3023				8				SL
Qf                          				AC3023				9				SU
vemdtLhff                   				AC3023				10				LB
QrUmCqhepISgvgYK            				AC3023				11				LB
IdmEu                       				AC3023				12				UB
WaaAWMIHnPYScUHu            				AC3023				13				UB
Vylu                        				AC3023				14				SL
f                           				AC3023				15				SU
CnAzJUAhzaJeew              				AC3023				16				LB
DpiwgRgvEq                  				AC3023				17				LB
gFrbkxqzERyl                				AC3023				18				UB
rq                          				AC3024				1				UB
CEtVeRqIRLuvgHWj            				AC3024				2				SL
OncHEHbpWZVvwaO             				AC3024				3				SU
matMhuqmyzvkw               				AC3024				4				LB
ofBOGChM                    				AC3024				5				LB
Oq                          				AC3024				6				UB
LuRRmHWNYUUrtNSX            				AC3024				7				UB
dJljJjAr                    				AC3024				8				SL
qWtZshPcKLk                 				AC3024				9				SU
OajmegOvo                   				AC3024				10				LB
sL                          				AC3024				11				LB
NYpCbd                      				AC3024				12				UB
bfErPtlRIejp                				AC3024				13				UB
fpqucR                      				AC3024				14				SL
QScHFFEJBLw                 				AC3024				15				SU




PNR Number: 22517_20221101_1_3044_6				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

qxptomP                     				AC3044				6				UB
OnL                         				AC3044				7				UB
GMMmgdEPV                   				AC3044				8				SL
kwMFR                       				AC3044				9				SU
ZJsgc                       				AC3044				10				LB
WvRhvtedLZ                  				AC3044				11				LB
JjTrhmxaUTFOXuE             				AC3044				12				UB
Cl                          				AC3044				13				UB
opcItRvAmHkC                				AC3044				14				SL
zTABFxjcQw                  				AC3044				15				SU
ObAoYMDOQRX                 				AC3044				16				LB
oZtPG                       				AC3044				17				LB
zbfqLS                      				AC3044				18				UB
gBwAAevJLgPyIQ              				AC3045				1				UB
AbfeoqwStZGUalFb            				AC3045				2				SL
b                           				AC3045				3				SU
eSToFoEZdFwQpNxX            				AC3045				4				LB
qS                          				AC3045				5				LB
DGWEdzGen                   				AC3045				6				UB
ZEZgc                       				AC3045				7				UB
FAvvODixSGg                 				AC3045				8				SL
r                           				AC3045				9				SU
MqUcOMotpX                  				AC3045				10				LB
Zb                          				AC3045				11				LB
WaDjgCCfN                   				AC3045				12				UB
UliLHLLsDExccy              				AC3045				13				UB
LOLOtRJOEipeDAkf            				AC3045				14				SL
dCmkZngSL                   				AC3045				15				SU
qaajfIYTO                   				AC3045				16				LB
ZDnmfJn                     				AC3045				17				LB
hv                          				AC3045				18				UB
P                           				AC3046				1				UB
pMQ                         				AC3046				2				SL
onRTuaZ                     				AC3046				3				SU




PNR Number: 22517_20221101_0_2278_21				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

LUnDRIrxnfjalgao            				SL2278				21				MB
PDzssvYUddAP                				SL2278				22				UB
doiZzSVDqDMjdA              				SL2278				23				LB
VGAYuNo                     				SL2278				24				MB
fbcQmx                      				SL2279				1				LB
bmQpOz                      				SL2279				2				MB
R                           				SL2279				3				UB
GipnBnhujfP                 				SL2279				4				LB
uBPiEHi                     				SL2279				5				MB
cP                          				SL2279				6				UB
dwPZsBCVesEHYZ              				SL2279				7				SL
m                           				SL2279				8				SU
rjhBedtwZLQk                				SL2279				9				LB
GzqsVAo                     				SL2279				10				MB
ixkX                        				SL2279				11				UB
SpyjKvulTamwVp              				SL2279				12				LB
b                           				SL2279				13				MB
CxkNKmNaTpxD                				SL2279				14				UB
t                           				SL2279				15				LB
SwVIlMERjZNTcQm             				SL2279				16				MB
lXoNhZH                     				SL2279				17				UB
J                           				SL2279				18				SL
rLmRvHkQzjdpvU              				SL2279				19				SU
DboOuwKLwIbsoH              				SL2279				20				LB
yHobY                       				SL2279				21				MB
HdedSySUaNfcXhZo            				SL2279				22				UB
RCmWsHnazPnA                				SL2279				23				LB




PNR Number: 4652_20221101_1_3129_5				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

EuYNlhWejMU                 				AC3129				5				LB
uFyzPlooaRm                 				AC3129				6				UB
wDKNfcq                     				AC3129				7				UB
AQxxe                       				AC3129				8				SL




PNR Number: 22517_20221101_0_2317_8				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

uJyhZAomkfN                 				SL2317				8				SU
Uc                          				SL2317				9				LB
TvWoxV                      				SL2317				10				MB
qvXPKRd                     				SL2317				11				UB
yiksl                       				SL2317				12				LB
Brr                         				SL2317				13				MB
sBSvMHwmDU                  				SL2317				14				UB
uhaeiAlMkl                  				SL2317				15				LB
UqqGjTw                     				SL2317				16				MB
e                           				SL2317				17				UB
flVBVCtQFV                  				SL2317				18				SL
iYGUEA                      				SL2317				19				SU
KrMxIpbxyTkFIZeP            				SL2317				20				LB
afbWIGttY                   				SL2317				21				MB
xnhcaorM                    				SL2317				22				UB
fFkzgnByHzy                 				SL2317				23				LB




PNR Number: 22517_20221101_0_2317_24				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

oxBpbDqrJfNaC               				SL2317				24				MB
OvmTHn                      				SL2318				1				LB
nK                          				SL2318				2				MB
F                           				SL2318				3				UB
tfTNnwFTfW                  				SL2318				4				LB
zxTtgQm                     				SL2318				5				MB
Rbf                         				SL2318				6				UB
wFDLxThh                    				SL2318				7				SL
OJGbkdt                     				SL2318				8				SU
NDLLJyf                     				SL2318				9				LB
fkDrWw                      				SL2318				10				MB
g                           				SL2318				11				UB
rPPWG                       				SL2318				12				LB
F                           				SL2318				13				MB
DSzKLUZlp                   				SL2318				14				UB
VKtjGYdFEMGxA               				SL2318				15				LB
gfTqX                       				SL2318				16				MB
mbxtVZsp                    				SL2318				17				UB
VGNDeNtOoTFJcoh             				SL2318				18				SL
FF                          				SL2318				19				SU
rzxHuUUI                    				SL2318				20				LB
KdoqgRaGDNHNe               				SL2318				21				MB
WfWdlIXuvXTJlR              				SL2318				22				UB
wGWRk                       				SL2318				23				LB
Iw                          				SL2318				24				MB
dSGGUpN                     				SL2319				1				LB
YPhP                        				SL2319				2				MB
aEmOIasekxvpMtqK            				SL2319				3				UB
DIerXkrjwzdh                				SL2319				4				LB
sPaqpWKibqu                 				SL2319				5				MB
HscLrWjIEI                  				SL2319				6				UB
RC                          				SL2319				7				SL
LPjeT                       				SL2319				8				SU
lKTVkPKdWeHhkd              				SL2319				9				LB
IEJgfGYdByF                 				SL2319				10				MB
LhtVEvoMRYWiV               				SL2319				11				UB
xyMrMRlGUl                  				SL2319				12				LB
eddmnpm                     				SL2319				13				MB
WRhVZwkud                   				SL2319				14				UB




PNR Number: 22517_20221101_0_2338_11				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

smwnnsbAax                  				SL2338				11				UB
FPrWNYFbs                   				SL2338				12				LB
cmmZ                        				SL2338				13				MB
eEZngeh                     				SL2338				14				UB
JdU                         				SL2338				15				LB
oEOSBfjIEa                  				SL2338				16				MB
SdjguuRpt                   				SL2338				17				UB
tE                          				SL2338				18				SL
aakzmFBmsXMm                				SL2338				19				SU
fQeYjFjHZGYRGhy             				SL2338				20				LB
BSSMOvZPHktQEW              				SL2338				21				MB
aKr                         				SL2338				22				UB
IBoIfmOJKVLMJv              				SL2338				23				LB
d                           				SL2338				24				MB
aV                          				SL2339				1				LB
UTXhKlHFnt                  				SL2339				2				MB
zDvaPCBZey                  				SL2339				3				UB
ECynhbgYf                   				SL2339				4				LB
IKJZjfu                     				SL2339				5				MB
nAL                         				SL2339				6				UB
IVRZbFfbrEwEdq              				SL2339				7				SL
chzPEbLTnu                  				SL2339				8				SU
TPRJSwanWFFGzpg             				SL2339				9				LB
UieukAR                     				SL2339				10				MB
IYCkpjsJKu                  				SL2339				11				UB
rbnfJg                      				SL2339				12				LB
YY                          				SL2339				13				MB
vIHTsFjJyEZWEmaJ            				SL2339				14				UB
UqQlx                       				SL2339				15				LB
apmsBPbzrzHZxHwV            				SL2339				16				MB
eI                          				SL2339				17				UB
JGlNoMztaDJfY               				SL2339				18				SL




PNR Number: 22517_20221101_0_2345_24				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

OcfyXWlFzvP                 				SL2345				24				MB
wDJXhbJmpHi                 				SL2346				1				LB
izHhTcRHUCNeK               				SL2346				2				MB
mJG                         				SL2346				3				UB
KVzeyezwi                   				SL2346				4				LB
GBD                         				SL2346				5				MB
XEJApfHbtXLzS               				SL2346				6				UB
VcAdtirlSdgbpb              				SL2346				7				SL
c                           				SL2346				8				SU
MipJmKtJjl                  				SL2346				9				LB
QaKeNyJAW                   				SL2346				10				MB
skkLOkRBcIw                 				SL2346				11				UB




PNR Number: 22517_20221101_0_2362_17				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

grcwxOzvnfIHQir             				SL2362				17				UB
BNhvK                       				SL2362				18				SL
ectGOKa                     				SL2362				19				SU
oGt                         				SL2362				20				LB
yT                          				SL2362				21				MB
d                           				SL2362				22				UB
EbJYgfpRNEqUa               				SL2362				23				LB
CNBzPQVhnSEfef              				SL2362				24				MB
tu                          				SL2363				1				LB
wNuZvhPpPx                  				SL2363				2				MB
IXoAriEGch                  				SL2363				3				UB
OqPFRdNpc                   				SL2363				4				LB
jrfbEjWdltXHzY              				SL2363				5				MB
rcXFPKpkjAkWxVmQ            				SL2363				6				UB
AJux                        				SL2363				7				SL
NFXWerYFnElzBc              				SL2363				8				SU
lzbNmEOQhl                  				SL2363				9				LB
eZvpSdJdJ                   				SL2363				10				MB
yBFzKQBXi                   				SL2363				11				UB
ymBo                        				SL2363				12				LB
larjLQPJnJhJyA              				SL2363				13				MB
ehYH                        				SL2363				14				UB
lYdMzzRzVD                  				SL2363				15				LB
VcNdCo                      				SL2363				16				MB
yPuRciYsqJtBWnx             				SL2363				17				UB
bX                          				SL2363				18				SL
aLUiVFNmvetzv               				SL2363				19				SU
PqLL                        				SL2363				20				LB
baMXflhBulJNAjE             				SL2363				21				MB
cMKUYKuZsUWSbEl             				SL2363				22				UB
Qahg                        				SL2363				23				LB
Po                          				SL2363				24				MB
pMyWNscGqzNHBJ              				SL2364				1				LB
xPystUFsxmFl                				SL2364				2				MB
PnaPEw                      				SL2364				3				UB
gllwC                       				SL2364				4				LB
HUzHqmcWN                   				SL2364				5				MB
fMRkbEXzqKwVYUj             				SL2364				6				UB
t                           				SL2364				7				SL




PNR Number: 22517_20221101_0_2401_2				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

EAXld                       				SL2401				2				MB
EUyqcX                      				SL2401				3				UB
LTpx                        				SL2401				4				LB
l                           				SL2401				5				MB
jBlKoRQaPxQvoJZ             				SL2401				6				UB
Kl                          				SL2401				7				SL
ymdbDBGhrU                  				SL2401				8				SU
ExAxnsDRiw                  				SL2401				9				LB




PNR Number: 4652_20221101_1_3259_5				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

EtAiCK                      				AC3259				5				LB
yO                          				AC3259				6				UB
wMJXz                       				AC3259				7				UB
jauFWRy                     				AC3259				8				SL
nNnbnUyI                    				AC3259				9				SU
msnaCVkUreXuiq              				AC3259				10				LB
vz                          				AC3259				11				LB
mjLJgUCuMwFantyG            				AC3259				12				UB
BFC                         				AC3259				13				UB
hFQJCHIcHa                  				AC3259				14				SL
NyaNCCXzwmXUBknk            				AC3259				15				SU
jysaecaybWmpkjmC            				AC3259				16				LB
YmAtKlF                     				AC3259				17				LB
Mlq                         				AC3259				18				UB
OilTRMCVrkaepr              				AC3260				1				UB
hig                         				AC3260				2				SL
thyKCDHhbwHsE               				AC3260				3				SU
SXusCikoHz                  				AC3260				4				LB
e                           				AC3260				5				LB
KzSQStEaockAz               				AC3260				6				UB
TQRzWEegzRwKl               				AC3260				7				UB




PNR Number: 4652_20221101_1_3267_6				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

X                           				AC3267				6				UB
IOIGHB                      				AC3267				7				UB
NCaFSz                      				AC3267				8				SL
JWLqSPF                     				AC3267				9				SU
SNbJMv                      				AC3267				10				LB
gxHMlMlxuChRZat             				AC3267				11				LB




PNR Number: 22517_20221101_1_3228_1				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

rfUKYjZggxAx                				AC3228				1				UB
V                           				AC3228				2				SL
neRtyau                     				AC3228				3				SU
EPGJseDjLOjV                				AC3228				4				LB
jAVtDKp                     				AC3228				5				LB
RmeYvDXm                    				AC3228				6				UB
vlKTFQLxRY                  				AC3228				7				UB
SFpJEiRVplmlN               				AC3228				8				SL
z                           				AC3228				9				SU
hSyODVFZJAbDw               				AC3228				10				LB
mOXGXicKwskl                				AC3228				11				LB
Zh                          				AC3228				12				UB
McdCQERRRftsu               				AC3228				13				UB
EcQdodkHEJ                  				AC3228				14				SL
GarCK                       				AC3228				15				SU
SbhyZxOL                    				AC3228				16				LB
oObMOGEmjczJWwf             				AC3228				17				LB
ZbIqgDwYiHmk                				AC3228				18				UB
ctaBz                       				AC3229				1				UB
iJAK                        				AC3229				2				SL
hNWeXStJnzdfAdvX            				AC3229				3				SU
sfSgXI                      				AC3229				4				LB
lyoRPm                      				AC3229				5				LB
YObRUoXCmFZYKvkN            				AC3229				6				UB
ciHZyGB                     				AC3229				7				UB
e                           				AC3229				8				SL
cPt                         				AC3229				9				SU
bnavptdYCimxXDyu            				AC3229				10				LB
peAI                        				AC3229				11				LB
wCUDKacrc                   				AC3229				12				UB
qSVpresXYFY                 				AC3229				13				UB




PNR Number: 4652_20221101_0_2279_15				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

bB                          				SL2279				15				LB
JXCsc                       				SL2279				16				MB
AgcjNplx                    				SL2279				17				UB
LIcNpmpo                    				SL2279				18				SL
ImTHAw                      				SL2279				19				SU
ATnmobJXf                   				SL2279				20				LB
LIcnLKCoaLhVSnU             				SL2279				21				MB
iAbBNXXmwP                  				SL2279				22				UB
fFijRnWbgmIA                				SL2279				23				LB
NtKTlO                      				SL2279				24				MB
UcmLbyECyfwSKQq             				SL2280				1				LB
YEu                         				SL2280				2				MB
Py                          				SL2280				3				UB
BChVsUsMnTurk               				SL2280				4				LB
NUwSX                       				SL2280				5				MB




PNR Number: 22517_20221101_1_3281_15				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

YnHWeilsggm                 				AC3281				15				SU
XSBEd                       				AC3281				16				LB




PNR Number: 22517_20221101_0_2481_7				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

A                           				SL2481				7				SL
VNnIQi                      				SL2481				8				SU
vCHbNmeqVcAQWVO             				SL2481				9				LB
xcZjinwSQsn                 				SL2481				10				MB
yCeEE                       				SL2481				11				UB
BKQPJysFFJy                 				SL2481				12				LB
HswnHMiIrEc                 				SL2481				13				MB
BgqYiC                      				SL2481				14				UB
HGnttmWF                    				SL2481				15				LB
qoOZLL                      				SL2481				16				MB
GHRfTnDKjHDq                				SL2481				17				UB
NAWYMGNbpgcTBz              				SL2481				18				SL
ediFTbYeLSxiii              				SL2481				19				SU
AqFdGnbWRW                  				SL2481				20				LB
rhgNyD                      				SL2481				21				MB
QcWSPjrpr                   				SL2481				22				UB
WwEbwnbFQKQ                 				SL2481				23				LB
U                           				SL2481				24				MB
EBqhmWZ                     				SL2482				1				LB
NOAcqiPcOC                  				SL2482				2				MB
wTUMkbNNk                   				SL2482				3				UB
u                           				SL2482				4				LB
IOaUgwwwFLNdwLQC            				SL2482				5				MB
RKsBsmOFXwVDYMMw            				SL2482				6				UB
PRJGlLjM                    				SL2482				7				SL
TQ                          				SL2482				8				SU
cGXysSMFDTH                 				SL2482				9				LB
uQy                         				SL2482				10				MB
RXKsuJVJjIFQBzB             				SL2482				11				UB
wkOWLbBb                    				SL2482				12				LB
xpYks                       				SL2482				13				MB
