PNR Number: 4652_20221101_1_2889_18				Train Number :4652				Date of Journey:2022-11-01
Ddu                         				AC3096				15				SU
tlpekvRDOj                  				AC3096				16				LB
CTDkBoSYOuUJA               				AC3096				17				LB
xTYDfWg                     				AC3096				18				UB
CJtDnIKYrgOMheiz            				AC3097				1				UB
jyTuEKGHbUHZ                				AC3097				2				SL
saxpgsLWqUN                 				AC3097				3				SU
BGwdaSmrmyLnHA              				AC3097				4				LB
RgStDnYaTToYJtct            				AC3097				5				LB
pOPcHOb                     				AC3097				6				UB
WPQh                        				AC3097				7				UB
UyZbxAl                     				AC3097				8				SL
dYxoOolvOaIyXU              				AC3097				9				SU




PNR Number: 4652_20221101_0_2150_23				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

xrQwBNdECc                  				SL2150				23				LB
JaKgJfvzC                   				SL2150				24				MB
gbiHn                       				SL2151				1				LB
jddxzhQxFoc                 				SL2151				2				MB
NAniZIPniA                  				SL2151				3				UB
jhQNZHRMQXzhEvv             				SL2151				4				LB
SKqww                       				SL2151				5				MB
nXkrU                       				SL2151				6				UB
YECCglrjSCwx                				SL2151				7				SL
QboDZ                       				SL2151				8				SU
YtiAqnExeDlVXoPX            				SL2151				9				LB




PNR Number: 4652_20221101_0_2151_10				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

I                           				SL2151				10				MB
oBQXrDichMPHbqrs            				SL2151				11				UB
hXQYQE                      				SL2151				12				LB
xUcIiKJPPV                  				SL2151				13				MB
EMyxhyAWTxWj                				SL2151				14				UB
CyWMqDzCh                   				SL2151				15				LB
ejdNeCRaPZWRcT              				SL2151				16				MB
XeYBFGN                     				SL2151				17				UB
yH                          				SL2151				18				SL
u                           				SL2151				19				SU
LYyYl                       				SL2151				20				LB
H                           				SL2151				21				MB
QgWZsQPeceiTdTGA            				SL2151				22				UB
UAYFqqPAbzl                 				SL2151				23				LB
bSKuQUxNuprYmjDB            				SL2151				24				MB
qsTk                        				SL2152				1				LB
aicWAXcbDQ                  				SL2152				2				MB
okFuZGVqRoZBD               				SL2152				3				UB
gQ                          				SL2152				4				LB
JjybDLAjwRVc                				SL2152				5				MB
spARE                       				SL2152				6				UB
qq                          				SL2152				7				SL
SGsHvSNRmpsOKZkh            				SL2152				8				SU
dbzdD                       				SL2152				9				LB
zftOhEi                     				SL2152				10				MB
rlr                         				SL2152				11				UB
UR                          				SL2152				12				LB




PNR Number: 22517_20221101_0_2275_17				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

pcJYimpP                    				SL2275				17				UB
vSXfUBzIPDKcf               				SL2275				18				SL
OGPJXtnWNwvdJcz             				SL2275				19				SU
FsRoTv                      				SL2275				20				LB
deAmBMA                     				SL2275				21				MB
yiHx                        				SL2275				22				UB
SRlrngIFaZEnx               				SL2275				23				LB
Kdj                         				SL2275				24				MB
tiYLkYXa                    				SL2276				1				LB
HkeaMrOW                    				SL2276				2				MB
UpDzHOoxrIrXylQ             				SL2276				3				UB
ogAb                        				SL2276				4				LB
MJtbEq                      				SL2276				5				MB
u                           				SL2276				6				UB
gX                          				SL2276				7				SL
aXkRnpdmd                   				SL2276				8				SU
CVIxYWHJxEkDJ               				SL2276				9				LB
HscC                        				SL2276				10				MB
JmjEmvLjH                   				SL2276				11				UB
AQ                          				SL2276				12				LB
PtffxqSb                    				SL2276				13				MB
oKEhWVvpPagqIAh             				SL2276				14				UB
LzVk                        				SL2276				15				LB
cAReObRSEJXOkR              				SL2276				16				MB
PJZNSjibloyAgJNL            				SL2276				17				UB
ZLiQcYewkbmXcH              				SL2276				18				SL
LIRicSJV                    				SL2276				19				SU
rScdarqMfCSpxNe             				SL2276				20				LB
oEKMBkLY                    				SL2276				21				MB
mLGWnursD                   				SL2276				22				UB
CgOZPCZuuv                  				SL2276				23				LB
ibEur                       				SL2276				24				MB
XsIz                        				SL2277				1				LB
KAAQxzrCjkw                 				SL2277				2				MB
YjHRJcd                     				SL2277				3				UB
ctvYwbZdM                   				SL2277				4				LB
txAIdGhcH                   				SL2277				5				MB
tCkoNsdqPui                 				SL2277				6				UB




PNR Number: 4652_20221101_0_2153_1				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

xRnfVkeaot                  				SL2153				1				LB
Gyyn                        				SL2153				2				MB
zRwxXyJSWTSdNp              				SL2153				3				UB
gBQLOTyDICN                 				SL2153				4				LB
MavuuGdHdfQ                 				SL2153				5				MB
jLGFXNECAgvi                				SL2153				6				UB
qLfu                        				SL2153				7				SL
UjRecmfvzlq                 				SL2153				8				SU
t                           				SL2153				9				LB
aUWhRiKpMdQd                				SL2153				10				MB
xrN                         				SL2153				11				UB
aedCM                       				SL2153				12				LB
YxMPsUfRkbno                				SL2153				13				MB
aHGUwySBA                   				SL2153				14				UB
wjTaLITTIgglCP              				SL2153				15				LB
UhAuANZi                    				SL2153				16				MB
UNnUxQXNvLLTlwE             				SL2153				17				UB
ybjV                        				SL2153				18				SL
qZMLnPsQi                   				SL2153				19				SU
XhmGtdqXiIJf                				SL2153				20				LB
ZfQzykyGLrpa                				SL2153				21				MB
CaNvNimbkqyVyvX             				SL2153				22				UB
PpbSnlJTmvlsac              				SL2153				23				LB
KavsQStiQJoutOet            				SL2153				24				MB
cGviu                       				SL2154				1				LB
UXMifGmdOJChimJ             				SL2154				2				MB
YFIqIBtnZUzOGoQi            				SL2154				3				UB
l                           				SL2154				4				LB
cGZWIpJCeHCbaE              				SL2154				5				MB
WoDQ                        				SL2154				6				UB
NwxiUygOXnvekWmV            				SL2154				7				SL
KrGyAYPQdLlrJz              				SL2154				8				SU
BdyMJGXklWEJJ               				SL2154				9				LB
Q                           				SL2154				10				MB




PNR Number: 4652_20221101_1_3119_10				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

obKKyYeBFJsdsAN             				AC3119				10				LB
xqyJxlNGZaafP               				AC3119				11				LB
wWUypjjIjspIefSG            				AC3119				12				UB
jLiDPSbjabuIDZo             				AC3119				13				UB
qEl                         				AC3119				14				SL
dIrfXowOb                   				AC3119				15				SU
ukrDtoRqEYEZFbu             				AC3119				16				LB
sKysLia                     				AC3119				17				LB
eYlEXmZAquoL                				AC3119				18				UB
mzXe                        				AC3120				1				UB
rENAq                       				AC3120				2				SL
DaRyd                       				AC3120				3				SU
fUzMFBQ                     				AC3120				4				LB
ErVZnWnueSRIkXv             				AC3120				5				LB
ANQbc                       				AC3120				6				UB
uIAxN                       				AC3120				7				UB
IMN                         				AC3120				8				SL
wIRUDpXrz                   				AC3120				9				SU
uXEPnUdAL                   				AC3120				10				LB
YcHOSAWs                    				AC3120				11				LB
PrHhXQHEGVr                 				AC3120				12				UB
y                           				AC3120				13				UB
Hl                          				AC3120				14				SL
ZxLsYZszpZf                 				AC3120				15				SU
bqijpaPBdGPPh               				AC3120				16				LB
keVcMskeRyZTn               				AC3120				17				LB
xxKgBDdOxzUUBQU             				AC3120				18				UB
AZZXJNStughnaK              				AC3121				1				UB
ML                          				AC3121				2				SL
EXAaOI                      				AC3121				3				SU
AzvHNJZonkA                 				AC3121				4				LB
YRnfB                       				AC3121				5				LB
pYbhR                       				AC3121				6				UB




PNR Number: 4652_20221101_1_3121_7				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

CsfRKlHK                    				AC3121				7				UB
noHxEMFAFhFi                				AC3121				8				SL
xrpHUN                      				AC3121				9				SU
pFrVjQX                     				AC3121				10				LB
bZWLDSFOoX                  				AC3121				11				LB
rFBxeqd                     				AC3121				12				UB
pcLb                        				AC3121				13				UB
gECWWIpPCAToA               				AC3121				14				SL
RxjsrsPvB                   				AC3121				15				SU
q                           				AC3121				16				LB
xIgPxPlUlC                  				AC3121				17				LB
RGSOTVcOi                   				AC3121				18				UB
Clni                        				AC3122				1				UB
cghzN                       				AC3122				2				SL
O                           				AC3122				3				SU
swjALjO                     				AC3122				4				LB
KJuktsd                     				AC3122				5				LB
pvTufE                      				AC3122				6				UB
KECfbpokRlGx                				AC3122				7				UB
AqiacuNP                    				AC3122				8				SL
dNGpiPJS                    				AC3122				9				SU




PNR Number: 22517_20221101_0_2296_10				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

bPSZDHrDZMSpd               				SL2296				10				MB
eHlzUhYxPw                  				SL2296				11				UB
HyrxT                       				SL2296				12				LB
hRVAwZpYyVO                 				SL2296				13				MB
dxglUtFCrgzBznxo            				SL2296				14				UB
gdLMBXVRVJyxOtCk            				SL2296				15				LB
vd                          				SL2296				16				MB
YWgKBFFDjFvJQPb             				SL2296				17				UB
IlBMeG                      				SL2296				18				SL
Z                           				SL2296				19				SU
DUskGxay                    				SL2296				20				LB
zvp                         				SL2296				21				MB
hJpEOBWOgPJ                 				SL2296				22				UB
xXchTrYPTky                 				SL2296				23				LB
LDDuwwrMEJevCo              				SL2296				24				MB
lqLLWnfr                    				SL2297				1				LB
Rk                          				SL2297				2				MB
qEPVHrFXqK                  				SL2297				3				UB
agonbJTFwT                  				SL2297				4				LB
QVrKbmTInhWIR               				SL2297				5				MB
rBCSZa                      				SL2297				6				UB
JRXLdeR                     				SL2297				7				SL
QdVPEdvqkx                  				SL2297				8				SU
mIbdcVclkbMwwG              				SL2297				9				LB
fRHowQ                      				SL2297				10				MB
MATEiMZ                     				SL2297				11				UB
jwTdHrxmtkBWPZU             				SL2297				12				LB
FzuybYrSn                   				SL2297				13				MB
vo                          				SL2297				14				UB




PNR Number: 22517_20221101_1_3093_8				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

tfGsZOmfmqPRejsx            				AC3093				8				SL
yTLwoIfmDUFzGEv             				AC3093				9				SU
Ol                          				AC3093				10				LB
cDXqt                       				AC3093				11				LB
TqCDIVNnER                  				AC3093				12				UB
hryawZoYMKInALK             				AC3093				13				UB
IAxrpv                      				AC3093				14				SL
zXMjEpOPxofTJ               				AC3093				15				SU
XhW                         				AC3093				16				LB




PNR Number: 22517_20221101_1_3093_17				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

EUszQZj                     				AC3093				17				LB
XYdAcNgPzlxdEj              				AC3093				18				UB
WTBbDfSQVMlZGM              				AC3094				1				UB
cFVekgyOMYi                 				AC3094				2				SL
SjzxQ                       				AC3094				3				SU
ONSIhxHmON                  				AC3094				4				LB
yPAavYynt                   				AC3094				5				LB
nhqQSFzqYhuYl               				AC3094				6				UB
oLxny                       				AC3094				7				UB
nz                          				AC3094				8				SL
HbzpvLMpgnsHK               				AC3094				9				SU
mC                          				AC3094				10				LB
jPWvO                       				AC3094				11				LB
URF                         				AC3094				12				UB
RespSRN                     				AC3094				13				UB
etTIOatruWofed              				AC3094				14				SL
IdP                         				AC3094				15				SU
XEVbRH                      				AC3094				16				LB
zigCMCD                     				AC3094				17				LB
NhdKCnNEUQkN                				AC3094				18				UB
tg                          				AC3095				1				UB
fVdoDieM                    				AC3095				2				SL
ECuYnen                     				AC3095				3				SU
eOtKN                       				AC3095				4				LB
FuB                         				AC3095				5				LB
sticawRCfDRC                				AC3095				6				UB
ecVadbRLWLSLlcOa            				AC3095				7				UB
XZhLAAKBWiD                 				AC3095				8				SL
XBYalCgnN                   				AC3095				9				SU
iSHUNuXd                    				AC3095				10				LB
TxSpRaJdgvUTpEA             				AC3095				11				LB
fQSGMLBVLziUcxq             				AC3095				12				UB
SWbxEMRa                    				AC3095				13				UB
mufklvWwDF                  				AC3095				14				SL
ZUSmSXKGoWmA                				AC3095				15				SU
oJDhUZUUYaUXtS              				AC3095				16				LB
BBlSyUhGdek                 				AC3095				17				LB
O                           				AC3095				18				UB
xnfEmW                      				AC3096				1				UB
Eqfo                        				AC3096				2				SL




PNR Number: 4652_20221101_1_3153_5				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

JHmok                       				AC3153				5				LB
EtTKYUUORIFB                				AC3153				6				UB
bqTBtHqaTMcOvy              				AC3153				7				UB
XQlvT                       				AC3153				8				SL
SdJBTKDYF                   				AC3153				9				SU
mGwRFsF                     				AC3153				10				LB
MbRKXScfxiXKYU              				AC3153				11				LB
MsTeNrqhSflOzmp             				AC3153				12				UB
aBt                         				AC3153				13				UB
ETQsUVgiJBEJ                				AC3153				14				SL
NILbodqP                    				AC3153				15				SU




PNR Number: 22517_20221101_1_3119_7				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

yPfKrjAmgoGs                				AC3119				7				UB
Q                           				AC3119				8				SL
kQFEJzqzwV                  				AC3119				9				SU
zZ                          				AC3119				10				LB
lTrGTtfY                    				AC3119				11				LB
EvlLMhkF                    				AC3119				12				UB
LjGCbnVRLYl                 				AC3119				13				UB
PXFddMEziWgZKM              				AC3119				14				SL
lM                          				AC3119				15				SU
tHEcduAQF                   				AC3119				16				LB
tBWpjR                      				AC3119				17				LB
dJuIxNvawGk                 				AC3119				18				UB
XobMWJDFhqVYcR              				AC3120				1				UB
REKKuYk                     				AC3120				2				SL
rATSjdxmVgtD                				AC3120				3				SU
pUTqceYstyFXW               				AC3120				4				LB
VmKgRUaZrrneyD              				AC3120				5				LB
JrCVqMdfXLSisTr             				AC3120				6				UB




PNR Number: 22517_20221101_1_3120_7				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

UYcrrFVc                    				AC3120				7				UB
hiTUVaXiESu                 				AC3120				8				SL
vgcPXpUUy                   				AC3120				9				SU
h                           				AC3120				10				LB
p                           				AC3120				11				LB
OGXIzgxem                   				AC3120				12				UB
qgAPhYentgv                 				AC3120				13				UB
FQF                         				AC3120				14				SL
QkgvNDZQw                   				AC3120				15				SU
sgfJ                        				AC3120				16				LB
UbryzfkovVLUvP              				AC3120				17				LB
HaEltodV                    				AC3120				18				UB
xWbz                        				AC3121				1				UB
HpmauvzGDlRLvk              				AC3121				2				SL
qmngCWkKkKXfpbu             				AC3121				3				SU
pbyGzsZLIaOM                				AC3121				4				LB
CyIqAOkk                    				AC3121				5				LB
fdrwibHjQ                   				AC3121				6				UB
G                           				AC3121				7				UB
poVxxWE                     				AC3121				8				SL
LcuXiHNrBnXHWm              				AC3121				9				SU
VhHlFmVOn                   				AC3121				10				LB
eBANqKWAQP                  				AC3121				11				LB
XpNgi                       				AC3121				12				UB




PNR Number: 22517_20221101_0_2346_20				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

JAhyXMUrGIidMkbb            				SL2346				20				LB
rwXpV                       				SL2346				21				MB
goAHVynRGfpn                				SL2346				22				UB




PNR Number: 22517_20221101_1_3145_10				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

jBcEXPk                     				AC3145				10				LB
noogVgtjyeLy                				AC3145				11				LB
ypGbyKUENCjrIdu             				AC3145				12				UB
SCkWMrPwv                   				AC3145				13				UB
ALKqyv                      				AC3145				14				SL
nvJtLZpPN                   				AC3145				15				SU
XyPuyf                      				AC3145				16				LB
zdXuE                       				AC3145				17				LB
QnCyDPIsSm                  				AC3145				18				UB
gRhaveeMFnsKzNFp            				AC3146				1				UB
luIwhOcE                    				AC3146				2				SL
KgarMqmvJoon                				AC3146				3				SU
meSoK                       				AC3146				4				LB
zMfVFQRJuZEZjn              				AC3146				5				LB
xiVeacEEF                   				AC3146				6				UB
nFPIuWYWbGeArCk             				AC3146				7				UB
ASEjciYKuWrx                				AC3146				8				SL
qTnZa                       				AC3146				9				SU
rDIwutMAzPTmqD              				AC3146				10				LB
QxrygzZ                     				AC3146				11				LB
rYohJLMwgEO                 				AC3146				12				UB
ZhTrWnbTahb                 				AC3146				13				UB
IXW                         				AC3146				14				SL
UzThw                       				AC3146				15				SU
CEPjyFYQkClH                				AC3146				16				LB
hKeCZrUb                    				AC3146				17				LB




PNR Number: 22517_20221101_0_2374_20				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

GxH                         				SL2374				20				LB
mAxNmbYaprwtWu              				SL2374				21				MB
vYL                         				SL2374				22				UB
mZXCRPWfpPKbhkjM            				SL2374				23				LB
wtDuDrLEtehSy               				SL2374				24				MB
vDBcZ                       				SL2375				1				LB
lIZLmplpsE                  				SL2375				2				MB
tiwLIqrAPiDtNv              				SL2375				3				UB
cTCunwvcqdw                 				SL2375				4				LB
dXWnrVXztUah                				SL2375				5				MB
owESE                       				SL2375				6				UB
FscJkuFN                    				SL2375				7				SL
jUkpEGhufaYtvi              				SL2375				8				SU
UqABzQHd                    				SL2375				9				LB
wUfsosIhlSynuUQO            				SL2375				10				MB




PNR Number: 22517_20221101_0_2375_11				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

sebIRBIOxiNd                				SL2375				11				UB
goE                         				SL2375				12				LB
MdtLmhYxK                   				SL2375				13				MB
fTwVc                       				SL2375				14				UB
AWr                         				SL2375				15				LB
p                           				SL2375				16				MB
CXyeSJ                      				SL2375				17				UB
VbpVCqrAhhc                 				SL2375				18				SL
LQgutoFA                    				SL2375				19				SU
VTz                         				SL2375				20				LB
ATBb                        				SL2375				21				MB
SGSuEGofNJmMUV              				SL2375				22				UB
nIgiNtLzJk                  				SL2375				23				LB
WtbHEXda                    				SL2375				24				MB
qWYTewTv                    				SL2376				1				LB
TfUF                        				SL2376				2				MB
rkMKzqmozFxtmKJV            				SL2376				3				UB




PNR Number: 4652_20221101_1_3225_16				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

NFK                         				AC3225				16				LB
CTfpE                       				AC3225				17				LB
dQGndJxptTKkdBq             				AC3225				18				UB
AbQAfACWeCKLELJ             				AC3226				1				UB
QeTOIDwqeP                  				AC3226				2				SL
VslhDYyGp                   				AC3226				3				SU
bQtEaHqpav                  				AC3226				4				LB
SnZDVgLDc                   				AC3226				5				LB
zcYEQR                      				AC3226				6				UB
YGkzmzWK                    				AC3226				7				UB
Wgh                         				AC3226				8				SL
SobThI                      				AC3226				9				SU
lMTIKxhMw                   				AC3226				10				LB
NvrQQENbCIImbs              				AC3226				11				LB
hDJpki                      				AC3226				12				UB
enInPUQLzjfweNGH            				AC3226				13				UB
ap                          				AC3226				14				SL
RgS                         				AC3226				15				SU
hUcGBQRIbgNaS               				AC3226				16				LB
AfMQzAFzen                  				AC3226				17				LB
arCzhn                      				AC3226				18				UB
LyIRyTR                     				AC3227				1				UB
ypj                         				AC3227				2				SL
hJDgDBuLve                  				AC3227				3				SU
bbcraUUkTpY                 				AC3227				4				LB
XEPaZP                      				AC3227				5				LB
QL                          				AC3227				6				UB
OIlBswg                     				AC3227				7				UB
oFajJfHKsrx                 				AC3227				8				SL
qwnctgLMdz                  				AC3227				9				SU
juGhp                       				AC3227				10				LB
e                           				AC3227				11				LB
GFFOcX                      				AC3227				12				UB
VheEc                       				AC3227				13				UB
wz                          				AC3227				14				SL
eOJ                         				AC3227				15				SU
HdEzn                       				AC3227				16				LB
YeMOsMA                     				AC3227				17				LB
MofbaeNeZYNxev              				AC3227				18				UB
ZBP                         				AC3228				1				UB




PNR Number: 4652_20221101_0_2240_16				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

TqNBwrkplgFDihon            				SL2240				16				MB
QBHafubQXU                  				SL2240				17				UB
c                           				SL2240				18				SL
NC                          				SL2240				19				SU
ySqkyrnwh                   				SL2240				20				LB
grTwzrxZkK                  				SL2240				21				MB
oCcnzaJLPlNQLXDq            				SL2240				22				UB
LzSfhz                      				SL2240				23				LB
h                           				SL2240				24				MB
oPtKERasmUjHmdrF            				SL2241				1				LB
fdnbxqfDt                   				SL2241				2				MB
hBxT                        				SL2241				3				UB
IeDLo                       				SL2241				4				LB
uxB                         				SL2241				5				MB
tszXzAWn                    				SL2241				6				UB
fW                          				SL2241				7				SL
cpXl                        				SL2241				8				SU
gergVjtE                    				SL2241				9				LB
JRsijpiucszzs               				SL2241				10				MB
Nzhc                        				SL2241				11				UB
xiKZRrlKEfhBwgM             				SL2241				12				LB
Aze                         				SL2241				13				MB
YxpjZPebdHYkd               				SL2241				14				UB
JliHGsGmKTODFBd             				SL2241				15				LB
hEMHEJ                      				SL2241				16				MB
wkJzQRpKqoG                 				SL2241				17				UB
mRectT                      				SL2241				18				SL
CggooeKT                    				SL2241				19				SU
TxblilpLJHgiU               				SL2241				20				LB
bGrHFgKGVxJCEzk             				SL2241				21				MB
u                           				SL2241				22				UB
BtG                         				SL2241				23				LB
kMTgBqhiUKehjZXK            				SL2241				24				MB
t                           				SL2242				1				LB




PNR Number: 22517_20221101_0_2384_2				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

OO                          				SL2384				2				MB
atkqeMvRLt                  				SL2384				3				UB
XzjBRhEREAd                 				SL2384				4				LB
cbfkIYYfb                   				SL2384				5				MB
Jrw                         				SL2384				6				UB
ewfRYGiqSOJqEaR             				SL2384				7				SL
LxRcaHe                     				SL2384				8				SU
DDjSV                       				SL2384				9				LB
fZKeOm                      				SL2384				10				MB
qyb                         				SL2384				11				UB
pbeWcoNQAkj                 				SL2384				12				LB
XlRoEy                      				SL2384				13				MB
qlgizyVecUIJmpW             				SL2384				14				UB
CnBWcicOSyydTPn             				SL2384				15				LB
AKXKRHiGGCdXoxfl            				SL2384				16				MB
gczMpeA                     				SL2384				17				UB
MoQYFpxHFpD                 				SL2384				18				SL
DajeoSMZtIDHWTz             				SL2384				19				SU




PNR Number: 22517_20221101_1_3201_1				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

VhxrchtfaZXvC               				AC3201				1				UB
io                          				AC3201				2				SL
HES                         				AC3201				3				SU
JyqiLcnO                    				AC3201				4				LB
RcZKlXnl                    				AC3201				5				LB
hHKYPUdOEgFqCB              				AC3201				6				UB
MnbskLaCaJi                 				AC3201				7				UB
opdXfwCHzQwOjqx             				AC3201				8				SL
YOnaiXtjA                   				AC3201				9				SU
iAdwNArb                    				AC3201				10				LB
euSsdk                      				AC3201				11				LB




PNR Number: 4652_20221101_0_2272_10				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

YEBNgSFiCWNYtWq             				SL2272				10				MB
wnq                         				SL2272				11				UB
Rsm                         				SL2272				12				LB
APeCvVdpArgiad              				SL2272				13				MB
lXP                         				SL2272				14				UB
tbeT                        				SL2272				15				LB
OugOfeMHsR                  				SL2272				16				MB
TeuFlqZi                    				SL2272				17				UB




