PNR Number: 4652_20221101_1_2871_8				Train Number :4652				Date of Journey:2022-11-01
ulCHGXUq                    				AC3004				10				LB
Vhtqne                      				AC3004				11				LB




PNR Number: 4652_20221101_1_3009_4				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

PHtzVQjkKVBtogLT            				AC3009				4				LB
ruSfWDRkDOyVYSiV            				AC3009				5				LB




PNR Number: 4652_20221101_1_3015_17				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

txhi                        				AC3015				17				LB
BB                          				AC3015				18				UB
frdXlfW                     				AC3016				1				UB
JWGUlComFcMF                				AC3016				2				SL
vtedWSmSE                   				AC3016				3				SU
zZFviQGpXbHm                				AC3016				4				LB
GBVlsiXwnjOws               				AC3016				5				LB
JCPRrKzTEsRYObkn            				AC3016				6				UB
mN                          				AC3016				7				UB
mqVp                        				AC3016				8				SL
mTDIYjvi                    				AC3016				9				SU
PwOoDb                      				AC3016				10				LB
YLkZAtdP                    				AC3016				11				LB
TaERoPqpBD                  				AC3016				12				UB
IongGE                      				AC3016				13				UB
PMvork                      				AC3016				14				SL
EwdUQZroAQn                 				AC3016				15				SU
JRvp                        				AC3016				16				LB
ULSo                        				AC3016				17				LB
foomXZ                      				AC3016				18				UB
FzetXYWZsEzHpnmb            				AC3017				1				UB
ECOEDKgCvaDKfZ              				AC3017				2				SL
rYdhPKCPX                   				AC3017				3				SU
rIHvHPavbYBM                				AC3017				4				LB
FbEsLvMOFFirr               				AC3017				5				LB
jF                          				AC3017				6				UB
mcdtFJwQSSSrv               				AC3017				7				UB
NsMB                        				AC3017				8				SL
XyiMVkQNZzf                 				AC3017				9				SU
pOTsJsDcEk                  				AC3017				10				LB
oLusqo                      				AC3017				11				LB
kEMEJw                      				AC3017				12				UB
deJWYUCMGMMaMaRv            				AC3017				13				UB
dvHcWkNP                    				AC3017				14				SL




PNR Number: 4652_20221101_1_3030_3				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

coJjx                       				AC3030				3				SU
bWAn                        				AC3030				4				LB
b                           				AC3030				5				LB
agvFyMRnEO                  				AC3030				6				UB
nv                          				AC3030				7				UB




PNR Number: 4652_20221101_1_3068_16				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

zRiONLYyX                   				AC3068				16				LB
VIjPnJrbIdHM                				AC3068				17				LB
eUFtSiGgiBlGqMV             				AC3068				18				UB
pcpMAifI                    				AC3069				1				UB
peRZnwpgs                   				AC3069				2				SL
PwpVVabvVwZxsNa             				AC3069				3				SU
MAJwEzSz                    				AC3069				4				LB
aYasUKwtGwV                 				AC3069				5				LB
uNNgIrMJelpr                				AC3069				6				UB
sIYoadYZ                    				AC3069				7				UB
OrIoHICDvOKML               				AC3069				8				SL
dCED                        				AC3069				9				SU
hVClEboJX                   				AC3069				10				LB
qhzNCMywgqLTMJ              				AC3069				11				LB
ogIxWDUyWCYcHGML            				AC3069				12				UB
hBGeM                       				AC3069				13				UB
jZhiBnOWUWMiT               				AC3069				14				SL
LmpAlAafmWK                 				AC3069				15				SU
qDI                         				AC3069				16				LB
QsgtrtupJuH                 				AC3069				17				LB
NJFJDG                      				AC3069				18				UB
TapgmlKEQxAOaa              				AC3070				1				UB
drLvpiopObD                 				AC3070				2				SL
hjMheIpL                    				AC3070				3				SU
ogqkxkRLJLd                 				AC3070				4				LB
fhQnd                       				AC3070				5				LB
lV                          				AC3070				6				UB
fNfiIKf                     				AC3070				7				UB
nfTnpIKAbiuQX               				AC3070				8				SL
mK                          				AC3070				9				SU
etEwlIzxYtGJfWg             				AC3070				10				LB
nkCAsnkJvPhxvD              				AC3070				11				LB
uVt                         				AC3070				12				UB
IxIhTsYTxMKm                				AC3070				13				UB
SwjfYBVVRjep                				AC3070				14				SL
yYGWwBuI                    				AC3070				15				SU
GtMeRgGbWU                  				AC3070				16				LB
ijciEgfBfinYPeEA            				AC3070				17				LB




PNR Number: 22517_20221101_1_3006_3				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

eb                          				AC3006				3				SU
SXraolp                     				AC3006				4				LB
fDQo                        				AC3006				5				LB
RGzLIelBqbZXwPN             				AC3006				6				UB
CVZwhgCyCG                  				AC3006				7				UB
NynAIcq                     				AC3006				8				SL
QRuF                        				AC3006				9				SU
HztXWQtCcwkmRlsi            				AC3006				10				LB
uCJCVo                      				AC3006				11				LB
rvpJQMKKzM                  				AC3006				12				UB
xXhpwNseeGwwem              				AC3006				13				UB
Gyh                         				AC3006				14				SL
EIWdihIifHE                 				AC3006				15				SU
bgYumh                      				AC3006				16				LB
WTZDhKgv                    				AC3006				17				LB
xGWcZw                      				AC3006				18				UB




PNR Number: 4652_20221101_1_3073_15				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

MmJAQ                       				AC3073				15				SU
hTAZJpUV                    				AC3073				16				LB
ffrCmq                      				AC3073				17				LB
CNkykAMH                    				AC3073				18				UB
VkIAurjZTmh                 				AC3074				1				UB
trQPOmqWq                   				AC3074				2				SL
FIArBXV                     				AC3074				3				SU
iMpg                        				AC3074				4				LB
RHmaWlowoxkFU               				AC3074				5				LB
BycxviV                     				AC3074				6				UB
frWhfVSjPcPxD               				AC3074				7				UB
CqVn                        				AC3074				8				SL
VpZVawXLEh                  				AC3074				9				SU
yADRYlDWugPuun              				AC3074				10				LB
z                           				AC3074				11				LB
N                           				AC3074				12				UB
jAEr                        				AC3074				13				UB
yhHtYHrIWjajdQvB            				AC3074				14				SL
vnF                         				AC3074				15				SU
hNef                        				AC3074				16				LB
dpdFoq                      				AC3074				17				LB
Neg                         				AC3074				18				UB
UeH                         				AC3075				1				UB




PNR Number: 4652_20221101_1_3075_2				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

rBkXYGMmkuQFHU              				AC3075				2				SL
qNP                         				AC3075				3				SU
GSpmpY                      				AC3075				4				LB
smHRI                       				AC3075				5				LB
xXpxZMowVdR                 				AC3075				6				UB
fjFwVd                      				AC3075				7				UB
DqsXKdXQujcPngHj            				AC3075				8				SL
EORVuyqElx                  				AC3075				9				SU
bsgCPlFLXcqp                				AC3075				10				LB
EehxiO                      				AC3075				11				LB
SBvSXMJU                    				AC3075				12				UB
bDrMywKr                    				AC3075				13				UB
duIQA                       				AC3075				14				SL
basCNrnyrfHZh               				AC3075				15				SU
fzJrEClXAIb                 				AC3075				16				LB




PNR Number: 22517_20221101_1_3012_17				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

nvurOqRwJrnIy               				AC3012				17				LB
RQSBmYvqcrwJI               				AC3012				18				UB
fuxPoSeHNsW                 				AC3013				1				UB
TcJKsShlQ                   				AC3013				2				SL
ghnGfzUgWVVPMk              				AC3013				3				SU
zjVJaM                      				AC3013				4				LB
AusVPOZpHBZfgo              				AC3013				5				LB
uTBynqhKpYY                 				AC3013				6				UB
eJV                         				AC3013				7				UB
aLWBRsAAiD                  				AC3013				8				SL
vBfFwhPjpGwdfcgn            				AC3013				9				SU
U                           				AC3013				10				LB
bJmapmUQY                   				AC3013				11				LB
uRrJDZXgWkEgTqyW            				AC3013				12				UB
zYFxSYGnJa                  				AC3013				13				UB
xLagYxpFH                   				AC3013				14				SL
JKfYd                       				AC3013				15				SU
YTPufzbe                    				AC3013				16				LB
wdfPMbKOO                   				AC3013				17				LB
JBImxgdtunFH                				AC3013				18				UB
ZXokfqvxXlSRyUQd            				AC3014				1				UB
DettdJx                     				AC3014				2				SL
ZHp                         				AC3014				3				SU
KwSfLKNuCRu                 				AC3014				4				LB
WZxvvZyw                    				AC3014				5				LB
kyDhpzmifUbNGaaA            				AC3014				6				UB
XM                          				AC3014				7				UB
WR                          				AC3014				8				SL
hTnzsJpg                    				AC3014				9				SU
QOSXtu                      				AC3014				10				LB
dSGLmfSFOHvVCah             				AC3014				11				LB
CJkMWpclaeIH                				AC3014				12				UB
AbjQyIpHfkAWqJ              				AC3014				13				UB




PNR Number: 22517_20221101_0_2261_10				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

LmTVXRGAfxEGK               				SL2261				10				MB
EC                          				SL2261				11				UB
IPvldXhoTJrC                				SL2261				12				LB
UhsDMtNYGQczEfr             				SL2261				13				MB
mVWtpupWpwfknv              				SL2261				14				UB
guqXv                       				SL2261				15				LB
pAJICVcq                    				SL2261				16				MB
F                           				SL2261				17				UB




PNR Number: 4652_20221101_1_3084_3				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ppsEIg                      				AC3084				3				SU
CerMAMBRoFSXtA              				AC3084				4				LB
FZAORWqhLDGEJ               				AC3084				5				LB
WRlg                        				AC3084				6				UB
d                           				AC3084				7				UB
VXpIpHmJSxz                 				AC3084				8				SL
vZVFkvLdHuanOIEa            				AC3084				9				SU
xgYpqLHqgBeMBIha            				AC3084				10				LB
dSsQoRTteLaHcMn             				AC3084				11				LB
qOHzFMYv                    				AC3084				12				UB
hPJViqOVCf                  				AC3084				13				UB
dcoKCk                      				AC3084				14				SL




PNR Number: 4652_20221101_1_3091_10				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

VDFxPbfdMmCV                				AC3091				10				LB
RdlSUYqG                    				AC3091				11				LB
rmHHIgvnfle                 				AC3091				12				UB
boNAoQjUbmnyrbFB            				AC3091				13				UB
EDPY                        				AC3091				14				SL
ihWqntjCjiTbxlNq            				AC3091				15				SU
EPkVL                       				AC3091				16				LB
zgM                         				AC3091				17				LB
JPaix                       				AC3091				18				UB
Rbouc                       				AC3092				1				UB
SZtZd                       				AC3092				2				SL
xpmtBTNAept                 				AC3092				3				SU
tVkkig                      				AC3092				4				LB
qNrMOQtYGCiUKhLF            				AC3092				5				LB
DlF                         				AC3092				6				UB
Z                           				AC3092				7				UB
QBcHNsfATPqMJEMz            				AC3092				8				SL
OahKr                       				AC3092				9				SU
ixi                         				AC3092				10				LB
RGfFYJjm                    				AC3092				11				LB
bdgMA                       				AC3092				12				UB
NGDXY                       				AC3092				13				UB
oKcrV                       				AC3092				14				SL
XWyaGSWYNbQpwnZI            				AC3092				15				SU
tsruAQK                     				AC3092				16				LB
QEZXCNsK                    				AC3092				17				LB
cktnvddULQ                  				AC3092				18				UB




PNR Number: 4652_20221101_0_2147_15				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

SJ                          				SL2147				15				LB
T                           				SL2147				16				MB
e                           				SL2147				17				UB
lObFSB                      				SL2147				18				SL
QASsZPcOgcU                 				SL2147				19				SU
fFWSmepAM                   				SL2147				20				LB
CDSOPnnOklgGfet             				SL2147				21				MB
fYELoOqmyWR                 				SL2147				22				UB
EZrqVeDHXCXA                				SL2147				23				LB
btjl                        				SL2147				24				MB
qpoC                        				SL2148				1				LB
sUEcYTteerLXYDN             				SL2148				2				MB
hTv                         				SL2148				3				UB
StCxRRLhkp                  				SL2148				4				LB
KBLdcOhYy                   				SL2148				5				MB
qJdGzhdvqFgqjzpM            				SL2148				6				UB
mWOjqoUetcL                 				SL2148				7				SL
S                           				SL2148				8				SU
Cpkcaay                     				SL2148				9				LB




PNR Number: 22517_20221101_0_2330_24				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

Dn                          				SL2330				24				MB
DPM                         				SL2331				1				LB
KTXawgevTMK                 				SL2331				2				MB
Y                           				SL2331				3				UB
UvAW                        				SL2331				4				LB
gjldORGBwlWua               				SL2331				5				MB
cHN                         				SL2331				6				UB
dC                          				SL2331				7				SL
qGBbBE                      				SL2331				8				SU
w                           				SL2331				9				LB
qHXyCbUefUG                 				SL2331				10				MB
wVgAWwtJYgNRSiXw            				SL2331				11				UB
zylmtO                      				SL2331				12				LB
DrXRjG                      				SL2331				13				MB
XlZCFJmV                    				SL2331				14				UB
FjbKP                       				SL2331				15				LB
fqzML                       				SL2331				16				MB
YUVBnYTxvM                  				SL2331				17				UB
aRfvzUcVXdVy                				SL2331				18				SL
Ct                          				SL2331				19				SU
cX                          				SL2331				20				LB
NoxaPnOcVNcr                				SL2331				21				MB
GSYEuysWv                   				SL2331				22				UB




PNR Number: 4652_20221101_0_2190_12				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

xjLjx                       				SL2190				12				LB
Ho                          				SL2190				13				MB
siy                         				SL2190				14				UB
gwvrAyvsCa                  				SL2190				15				LB
DmRjdmiiXgDK                				SL2190				16				MB
cJOExWeHyni                 				SL2190				17				UB
EVbuq                       				SL2190				18				SL
PwfEIqTfChqE                				SL2190				19				SU
VJXGuWFUhzHuB               				SL2190				20				LB
asNtTUPT                    				SL2190				21				MB
BjutFcHTwRwlPdnD            				SL2190				22				UB
zzlKnmiFYJXjop              				SL2190				23				LB
DMUns                       				SL2190				24				MB
ychdAmsjaLES                				SL2191				1				LB
rkG                         				SL2191				2				MB
qsarGvJcrty                 				SL2191				3				UB
Cyni                        				SL2191				4				LB




PNR Number: 4652_20221101_0_2191_5				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

DIEAkhlECD                  				SL2191				5				MB
ogLofjmy                    				SL2191				6				UB
vVQNjnUMxPlYwc              				SL2191				7				SL
MwTAh                       				SL2191				8				SU
sRNt                        				SL2191				9				LB
rlOxsc                      				SL2191				10				MB
QuDznhMmDCT                 				SL2191				11				UB
ctefpmDEoAYg                				SL2191				12				LB
ZaHEkDrcEWr                 				SL2191				13				MB
ZpubXbrBnpterWqR            				SL2191				14				UB
WLiPguQvhRK                 				SL2191				15				LB
IpmBmlnRgw                  				SL2191				16				MB




PNR Number: 4652_20221101_1_3171_14				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

DVHIg                       				AC3171				14				SL
BrZbaHlV                    				AC3171				15				SU
GrVJj                       				AC3171				16				LB
UE                          				AC3171				17				LB
oHIy                        				AC3171				18				UB
SQShjTqqzNFHWW              				AC3172				1				UB
xA                          				AC3172				2				SL
cdtKybWxeOVlHLkg            				AC3172				3				SU
TTDvziNwkcmxop              				AC3172				4				LB
Cnuigwn                     				AC3172				5				LB
fFkKoqBZNLYMtz              				AC3172				6				UB
BjrkBR                      				AC3172				7				UB
UlvSElLHirFyD               				AC3172				8				SL
A                           				AC3172				9				SU
buGoILIbKIPDW               				AC3172				10				LB
NwzjubuFD                   				AC3172				11				LB
XGreh                       				AC3172				12				UB
zGXjIvgzpvZ                 				AC3172				13				UB
byGixxIVYaM                 				AC3172				14				SL
YCGVWG                      				AC3172				15				SU
Dwkccbd                     				AC3172				16				LB
RSvhcqdOBPBvJ               				AC3172				17				LB
nxirgHqLQQlcbAE             				AC3172				18				UB
dylEBzhVrTXPSMAD            				AC3173				1				UB
NMrgphbkryKTVLa             				AC3173				2				SL
zAIazj                      				AC3173				3				SU
UxT                         				AC3173				4				LB
gdbgx                       				AC3173				5				LB
dxhAkwcsAaleI               				AC3173				6				UB
AOPniOPnSwwdb               				AC3173				7				UB
mnobxxBYYktvo               				AC3173				8				SL




PNR Number: 22517_20221101_0_2343_11				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

DSLNaBdAsiOVqUp             				SL2343				11				UB
AbPMHRwVItwrNqrW            				SL2343				12				LB
kGnEQEE                     				SL2343				13				MB




PNR Number: 4652_20221101_1_3175_1				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

cDxoDqLVEmpva               				AC3175				1				UB
mxOxvZDFsjMo                				AC3175				2				SL
arguoRg                     				AC3175				3				SU
VWPpp                       				AC3175				4				LB
LOXxqPEvvzq                 				AC3175				5				LB
baBJy                       				AC3175				6				UB
MzCGSIWBJsvCW               				AC3175				7				UB
RCWOn                       				AC3175				8				SL
mwUE                        				AC3175				9				SU
kfPQyoCzkoUfDUK             				AC3175				10				LB
DyNCOvb                     				AC3175				11				LB
uRYcjfjjpgRPLVS             				AC3175				12				UB
iK                          				AC3175				13				UB
aBY                         				AC3175				14				SL
ATZ                         				AC3175				15				SU
sbxzCFL                     				AC3175				16				LB
dkvkKd                      				AC3175				17				LB
jTeDHnvyVCpVcDc             				AC3175				18				UB
nQ                          				AC3176				1				UB
SkEwyfZtZexKNK              				AC3176				2				SL
dgWMzzDahVCptvM             				AC3176				3				SU
vAXtLkdjauM                 				AC3176				4				LB
Rm                          				AC3176				5				LB
cn                          				AC3176				6				UB
eyrHnzCQDbOpt               				AC3176				7				UB
QuAhCmH                     				AC3176				8				SL
z                           				AC3176				9				SU
VGGca                       				AC3176				10				LB
ewqfmdBjvVFjTKP             				AC3176				11				LB
EaFKEcBGgdckdpRk            				AC3176				12				UB
TbMVTbevZqst                				AC3176				13				UB
bIjtzmxN                    				AC3176				14				SL
TaG                         				AC3176				15				SU
zabYBHNsSg                  				AC3176				16				LB
hdEXCnoD                    				AC3176				17				LB
OyMvrovXsdDiABA             				AC3176				18				UB
MgJdFleBTAi                 				AC3177				1				UB




PNR Number: 4652_20221101_0_2202_6				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

lHHeUCYPaiAXp               				SL2202				6				UB
FXD                         				SL2202				7				SL
ZJyowzUJqUABLgQU            				SL2202				8				SU
sDUOHsyBuyDZmIzd            				SL2202				9				LB
MuQNqhSraq                  				SL2202				10				MB
pxogX                       				SL2202				11				UB
pRpiPEgSNHDB                				SL2202				12				LB
NTA                         				SL2202				13				MB
AAoX                        				SL2202				14				UB
RAzBPArT                    				SL2202				15				LB
piwMVRwyRjSa                				SL2202				16				MB
qJhBccHVxfwob               				SL2202				17				UB
EDiQzs                      				SL2202				18				SL
CHFKvs                      				SL2202				19				SU
VzHEcpZMO                   				SL2202				20				LB
ICvaQFEC                    				SL2202				21				MB
btEmtYyRGWrBOa              				SL2202				22				UB
xy                          				SL2202				23				LB




PNR Number: 22517_20221101_1_3135_2				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

DKdnSP                      				AC3135				2				SL
AvlNfICJCfh                 				AC3135				3				SU
xreabscO                    				AC3135				4				LB
FIOCWWBT                    				AC3135				5				LB
ctKPWzvE                    				AC3135				6				UB
rQaZMEkSzo                  				AC3135				7				UB
XylwV                       				AC3135				8				SL
P                           				AC3135				9				SU
ISvVM                       				AC3135				10				LB
mZJjhntrpaiiMplv            				AC3135				11				LB
TQRbNt                      				AC3135				12				UB
YgBuxIFfFGl                 				AC3135				13				UB
AUTJekQejFje                				AC3135				14				SL
vVe                         				AC3135				15				SU
K                           				AC3135				16				LB
sAa                         				AC3135				17				LB
TTQpvjc                     				AC3135				18				UB
lAH                         				AC3136				1				UB
eKTLYMYBhtpfp               				AC3136				2				SL
hQRxyw                      				AC3136				3				SU
bM                          				AC3136				4				LB
RnkCDpNgtlZFYN              				AC3136				5				LB
kdjgtmMgOmqQZX              				AC3136				6				UB
xSeessSMCucDHo              				AC3136				7				UB
nFOJzmBvckU                 				AC3136				8				SL
Ls                          				AC3136				9				SU
OIoM                        				AC3136				10				LB
jJQDq                       				AC3136				11				LB
dUeEQPVr                    				AC3136				12				UB
k                           				AC3136				13				UB
GqaRDxpbBpiL                				AC3136				14				SL




PNR Number: 22517_20221101_0_2370_6				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

cCuheh                      				SL2370				6				UB
sGI                         				SL2370				7				SL
rEr                         				SL2370				8				SU
tGVwJ                       				SL2370				9				LB
hdPmEeOlH                   				SL2370				10				MB
Tjezi                       				SL2370				11				UB
WN                          				SL2370				12				LB
REMcP                       				SL2370				13				MB
iHnYfRRQD                   				SL2370				14				UB
Kb                          				SL2370				15				LB
PBaAsUGyVPJlRdHf            				SL2370				16				MB
XOgtirHe                    				SL2370				17				UB
RxfbWf                      				SL2370				18				SL
RaiZZDsOxUfnBtWj            				SL2370				19				SU
N                           				SL2370				20				LB
tnZxPTgIXUUcwJRx            				SL2370				21				MB
epZEO                       				SL2370				22				UB
sYRfZvxWmwFH                				SL2370				23				LB
eBhZQI                      				SL2370				24				MB
VPqMwOmZfgeIA               				SL2371				1				LB
mHJvOp                      				SL2371				2				MB
ErbQdttDuUdeLqQb            				SL2371				3				UB
zOlvskk                     				SL2371				4				LB
lNWIxeAiV                   				SL2371				5				MB




PNR Number: 22517_20221101_1_3188_7				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

EnsIdJraYQl                 				AC3188				7				UB
zqNvOgkAnyedk               				AC3188				8				SL
kKQPmDZsxnXzHaa             				AC3188				9				SU
xHDjDdG                     				AC3188				10				LB
GmDsASjcm                   				AC3188				11				LB
oLTKadkdRwpJGx              				AC3188				12				UB
vOu                         				AC3188				13				UB
hWZnjTxQVPiiWg              				AC3188				14				SL
XApcGR                      				AC3188				15				SU
z                           				AC3188				16				LB
GLBtZhBalBmINK              				AC3188				17				LB
zuSrQ                       				AC3188				18				UB
xV                          				AC3189				1				UB
n                           				AC3189				2				SL
vLKEmjyOmckPfFl             				AC3189				3				SU
EjO                         				AC3189				4				LB
qNAzIMuJtbJkZtpt            				AC3189				5				LB
zgHxzL                      				AC3189				6				UB
lvvwcSpcaJfu                				AC3189				7				UB
uiSJLELaFx                  				AC3189				8				SL
aHZqzl                      				AC3189				9				SU
swyv                        				AC3189				10				LB
wSeAVFCiPFzrdNh             				AC3189				11				LB
UNeEhkG                     				AC3189				12				UB
N                           				AC3189				13				UB
rxAd                        				AC3189				14				SL
eKONqX                      				AC3189				15				SU
xYan                        				AC3189				16				LB
BUEDtWFscWt                 				AC3189				17				LB
zImqEZeXMKRg                				AC3189				18				UB
LuNUYYfXKXt                 				AC3190				1				UB
iBjvrebfhaN                 				AC3190				2				SL




PNR Number: 4652_20221101_1_3246_14				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

rIHqeprpdp                  				AC3246				14				SL
QcuIayZOUxfhJDJ             				AC3246				15				SU
xDQhPGLc                    				AC3246				16				LB
BAt                         				AC3246				17				LB
KGUDokxNysXrMN              				AC3246				18				UB
pVgKetnH                    				AC3247				1				UB
KoRmW                       				AC3247				2				SL
ycoEepgdPuxuGOaR            				AC3247				3				SU
CIKyPlJGTsvA                				AC3247				4				LB
patNMCVk                    				AC3247				5				LB
vZK                         				AC3247				6				UB
nWLPDCwud                   				AC3247				7				UB
HuleBHMsoNwwll              				AC3247				8				SL
EyLTtk                      				AC3247				9				SU
vtFZvk                      				AC3247				10				LB
