PNR Number: 22517_20221101_1_2839_13				Train Number :22517				Date of Journey:2022-11-01
BFXMKiEuQ                   				SL2177				4				LB
RrvVtcZuYWLQTUyf            				SL2177				5				MB
fOpJwuvcHXtKbQt             				SL2177				6				UB
rimVDiSN                    				SL2177				7				SL
skQczdBhF                   				SL2177				8				SU
JXuPmCDKFjtS                				SL2177				9				LB
pjGWQzIfnuaNzv              				SL2177				10				MB
gshiNETROpXfVccw            				SL2177				11				UB
BQxiosSYNeyJ                				SL2177				12				LB
lU                          				SL2177				13				MB
UxxhjcoT                    				SL2177				14				UB
OrYbbbywMPsSQhp             				SL2177				15				LB
WiGisnIMciPmv               				SL2177				16				MB
EBNP                        				SL2177				17				UB




PNR Number: 4652_20221101_0_2088_2				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

lOWbckWTxWpAU               				SL2088				2				MB
FfruECJiI                   				SL2088				3				UB
q                           				SL2088				4				LB
nbWFB                       				SL2088				5				MB
HstU                        				SL2088				6				UB
HnppcYg                     				SL2088				7				SL
uFrIDa                      				SL2088				8				SU
IsuGD                       				SL2088				9				LB
FfHKPP                      				SL2088				10				MB
ghIUFZRGRGayaD              				SL2088				11				UB
oJOVCvNGcJKUxMnc            				SL2088				12				LB
EVvBvHfSv                   				SL2088				13				MB
PtMCqN                      				SL2088				14				UB
bSpuRqGag                   				SL2088				15				LB
F                           				SL2088				16				MB
QMUrqJWWEcDqVj              				SL2088				17				UB
Ia                          				SL2088				18				SL
TfuA                        				SL2088				19				SU
a                           				SL2088				20				LB
UDTOQs                      				SL2088				21				MB
ZrJLMfpRqPnNcoy             				SL2088				22				UB
iDpRphO                     				SL2088				23				LB
MuQHjlkPwmKwwTeq            				SL2088				24				MB
PnlorKKqB                   				SL2089				1				LB
IRzKuKptNRgDgc              				SL2089				2				MB
kAZAHcJvYXjMgMB             				SL2089				3				UB
vGrUQTeEcuQDuaiC            				SL2089				4				LB
EUPpHvocrIxfUZRV            				SL2089				5				MB
ZamhhHxSuiUAWff             				SL2089				6				UB
PffIl                       				SL2089				7				SL
VRxurStb                    				SL2089				8				SU
eNUOU                       				SL2089				9				LB
HwuWtoTdVUxxw               				SL2089				10				MB




PNR Number: 22517_20221101_1_2917_8				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

Y                           				AC2917				8				SL
tyUvrWaScakWPx              				AC2917				9				SU
ajuZ                        				AC2917				10				LB
vYtGJzxCDLm                 				AC2917				11				LB
meaByofqnrNLujDP            				AC2917				12				UB
Nt                          				AC2917				13				UB
sKRJNDdtzc                  				AC2917				14				SL
dncK                        				AC2917				15				SU
ZgPXXvEfYg                  				AC2917				16				LB
rOwzPgT                     				AC2917				17				LB
TAvX                        				AC2917				18				UB
YdHaaRxCuUTUc               				AC2918				1				UB




PNR Number: 22517_20221101_0_2185_4				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

aeGrEqqFufPERGvt            				SL2185				4				LB
vdfTTc                      				SL2185				5				MB
bDjWBUHmgHssmyx             				SL2185				6				UB
nfccTO                      				SL2185				7				SL
A                           				SL2185				8				SU
yeJKYTUBvPeAlIuD            				SL2185				9				LB
iRzRRyjp                    				SL2185				10				MB
xwXTLjL                     				SL2185				11				UB
IcuCsfo                     				SL2185				12				LB
ikigTkyUWGZY                				SL2185				13				MB
RMXbTlzSW                   				SL2185				14				UB
rqzGXwdbKc                  				SL2185				15				LB
BgRmzjy                     				SL2185				16				MB
tkITqWybkEwde               				SL2185				17				UB
mlAHza                      				SL2185				18				SL
JWgJeVYeWltJRb              				SL2185				19				SU
ieyJOApLBvAbn               				SL2185				20				LB
Cz                          				SL2185				21				MB
X                           				SL2185				22				UB
kWlmaAdqObAsmnpW            				SL2185				23				LB
bXDCAvycUlKC                				SL2185				24				MB
l                           				SL2186				1				LB
fKSDBBZTMrWmucoG            				SL2186				2				MB
sKQ                         				SL2186				3				UB
YuknuIhvO                   				SL2186				4				LB
iATub                       				SL2186				5				MB
wGFpBYjaMEJZa               				SL2186				6				UB
IYXv                        				SL2186				7				SL
VNmwcAce                    				SL2186				8				SU
pfwX                        				SL2186				9				LB
kzjNHSJZKe                  				SL2186				10				MB
lboXxlWgcVha                				SL2186				11				UB
QEsmRmDwH                   				SL2186				12				LB
yK                          				SL2186				13				MB
TUh                         				SL2186				14				UB




PNR Number: 22517_20221101_0_2188_24				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

YpmhvaBpnY                  				SL2188				24				MB
vMSNinjinwFGrl              				SL2189				1				LB
UmXXhtKJPBgkcZ              				SL2189				2				MB
ykncBmWeVjIYw               				SL2189				3				UB
bL                          				SL2189				4				LB
YXouSGxvYBi                 				SL2189				5				MB
siPnamPS                    				SL2189				6				UB
X                           				SL2189				7				SL
HYFhimlLTuDHcEI             				SL2189				8				SU
DyuphzsglL                  				SL2189				9				LB
sPrQyvqlwYSRau              				SL2189				10				MB
C                           				SL2189				11				UB
gguqtAfJlnPiM               				SL2189				12				LB
GmItsMPbRwPryf              				SL2189				13				MB
D                           				SL2189				14				UB
MfxWeEQd                    				SL2189				15				LB
QH                          				SL2189				16				MB
MgLkIKaZNYw                 				SL2189				17				UB
I                           				SL2189				18				SL
xdsHUTmWxCxdUf              				SL2189				19				SU
niMREkREnm                  				SL2189				20				LB
xYL                         				SL2189				21				MB
oEVnDBcYSdWS                				SL2189				22				UB
XxdGzBmfOZZZ                				SL2189				23				LB
sRZHjYvng                   				SL2189				24				MB
OgxAxGjRISfew               				SL2190				1				LB
EcJkIWK                     				SL2190				2				MB
D                           				SL2190				3				UB
Ct                          				SL2190				4				LB
ueMSgylCIZbeMQSa            				SL2190				5				MB




PNR Number: 22517_20221101_1_2960_9				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ZPOnDD                      				AC2960				9				SU
XS                          				AC2960				10				LB
X                           				AC2960				11				LB
XaorEJ                      				AC2960				12				UB
fCjPz                       				AC2960				13				UB
RMVnijLFIuhxEp              				AC2960				14				SL
HbNUQlnGwHcBJ               				AC2960				15				SU
kJSdkJlf                    				AC2960				16				LB
yREOQVozeurZ                				AC2960				17				LB
eWMmwapDNgtmZkwK            				AC2960				18				UB




PNR Number: 22517_20221101_0_2217_17				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

YF                          				SL2217				17				UB
ycTndcKX                    				SL2217				18				SL
ggskEBi                     				SL2217				19				SU
FWgTQOTMTWfm                				SL2217				20				LB
OYqJFu                      				SL2217				21				MB
QKItCeqPwNsYgfx             				SL2217				22				UB
RehRqRGdoDKJT               				SL2217				23				LB




PNR Number: 22517_20221101_1_2970_10				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

MJAgSRcwUYWDGXcK            				AC2970				10				LB
riXYiUssyREgZRT             				AC2970				11				LB
dWugabVfa                   				AC2970				12				UB
q                           				AC2970				13				UB
yRrD                        				AC2970				14				SL
EwpTxTG                     				AC2970				15				SU
DEitawopmL                  				AC2970				16				LB
wjKIpgsnrUifK               				AC2970				17				LB
SPCibmNqC                   				AC2970				18				UB
RJdYgieAGnwuGDYY            				AC2971				1				UB
owqVRpsLWSJd                				AC2971				2				SL
h                           				AC2971				3				SU
WjBrYXSiw                   				AC2971				4				LB
CHDLQJfAB                   				AC2971				5				LB
YsISZxx                     				AC2971				6				UB
ieS                         				AC2971				7				UB
hOiqYMWnWm                  				AC2971				8				SL
VNrwMDPlnnJ                 				AC2971				9				SU
VLqWbjVxaNfjeeb             				AC2971				10				LB
ODADkuZd                    				AC2971				11				LB
evD                         				AC2971				12				UB
FsxREfLw                    				AC2971				13				UB
PCbp                        				AC2971				14				SL
FcoO                        				AC2971				15				SU
PcQhaWpyXGqBers             				AC2971				16				LB
wzyoUVGwBRGwuWh             				AC2971				17				LB




PNR Number: 22517_20221101_0_2226_24				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

UOSiHRVglffNaXKk            				SL2226				24				MB
ONPgCUjrjnsHM               				SL2227				1				LB
BvCsyRGqkAOWGo              				SL2227				2				MB
ZpOsSYqnmgey                				SL2227				3				UB
CjBusqxgI                   				SL2227				4				LB
b                           				SL2227				5				MB
NwWWN                       				SL2227				6				UB
GNoCeLvx                    				SL2227				7				SL
WAkWFsWgUBVGmrn             				SL2227				8				SU
LIdKtDOvkfAqsaYM            				SL2227				9				LB
l                           				SL2227				10				MB
wLDxFXvnUp                  				SL2227				11				UB
QsmWGKiTISqz                				SL2227				12				LB
KosofGrjBMhLva              				SL2227				13				MB
tFIecpYNBRiZCK              				SL2227				14				UB
MIZ                         				SL2227				15				LB
tbvnhKTcku                  				SL2227				16				MB
GYrKkBGMuV                  				SL2227				17				UB
IyBiJxAV                    				SL2227				18				SL
ZxnKejFJ                    				SL2227				19				SU
wgFyb                       				SL2227				20				LB
iarj                        				SL2227				21				MB
baoQ                        				SL2227				22				UB
JszWwTeRFgxWPRBF            				SL2227				23				LB
gmelYrqgocBF                				SL2227				24				MB
ZiTAtnpjQijstzzM            				SL2228				1				LB
BIWfXygbmzQtc               				SL2228				2				MB
ngnizqNUxuqeHY              				SL2228				3				UB
tfAgNiLkVKUFD               				SL2228				4				LB
JbTjcOEstwM                 				SL2228				5				MB
ks                          				SL2228				6				UB
rcS                         				SL2228				7				SL
uegndpTNIk                  				SL2228				8				SU
iwRZwb                      				SL2228				9				LB
rZDyAohlGRrozG              				SL2228				10				MB
EKDvvamZp                   				SL2228				11				UB
GzSrFcII                    				SL2228				12				LB
VjJ                         				SL2228				13				MB




PNR Number: 22517_20221101_1_2984_4				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

MRphDqU                     				AC2984				4				LB
oU                          				AC2984				5				LB
xGLbsBqAs                   				AC2984				6				UB
XHnDY                       				AC2984				7				UB
bd                          				AC2984				8				SL
xTPMN                       				AC2984				9				SU




PNR Number: 22517_20221101_0_2248_8				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

xhF                         				SL2248				8				SU
hIJjhQIgm                   				SL2248				9				LB
ZH                          				SL2248				10				MB
SVn                         				SL2248				11				UB
GOryE                       				SL2248				12				LB
wuiXUChBG                   				SL2248				13				MB
ihNuwFuG                    				SL2248				14				UB
zKIFwyMWFQogDxZa            				SL2248				15				LB
Bqu                         				SL2248				16				MB
VeHu                        				SL2248				17				UB
fJdvXkfNr                   				SL2248				18				SL
FnVVJumtyXIlctcI            				SL2248				19				SU
nEvTcQROyFgM                				SL2248				20				LB
aaSisbSRHzN                 				SL2248				21				MB
s                           				SL2248				22				UB
esHMefgRNwiWMeMk            				SL2248				23				LB
PnOVNCx                     				SL2248				24				MB
pzGxxTFYsi                  				SL2249				1				LB
xvapSye                     				SL2249				2				MB
nsABl                       				SL2249				3				UB
OuxuOOhpVeCroCyy            				SL2249				4				LB
ZkroyONLtn                  				SL2249				5				MB
WPmTNxu                     				SL2249				6				UB
XlGs                        				SL2249				7				SL
wHLZo                       				SL2249				8				SU
qBjcKMApEJ                  				SL2249				9				LB
rQAUpIKg                    				SL2249				10				MB
CWRlvDdmMKxNuAdP            				SL2249				11				UB
ZgGYeyT                     				SL2249				12				LB
cFVbDiHnpIVUfUJ             				SL2249				13				MB
E                           				SL2249				14				UB




PNR Number: 22517_20221101_1_3011_9				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

vOXfF                       				AC3011				9				SU
l                           				AC3011				10				LB
k                           				AC3011				11				LB
RuONv                       				AC3011				12				UB
bOSX                        				AC3011				13				UB
WMIqDHUhFQsy                				AC3011				14				SL
uuiaWi                      				AC3011				15				SU
Epn                         				AC3011				16				LB
ICHlNJOhGR                  				AC3011				17				LB
RTOcnaOp                    				AC3011				18				UB
WYcAnXh                     				AC3012				1				UB
PY                          				AC3012				2				SL
GgxkyT                      				AC3012				3				SU
sp                          				AC3012				4				LB
EclB                        				AC3012				5				LB
sFwneXtbYCyAqhpz            				AC3012				6				UB




PNR Number: 22517_20221101_0_2252_1				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

KfarLOjjxuAuxeoJ            				SL2252				1				LB
yGkSkrQon                   				SL2252				2				MB
PsVlkqMdTEeu                				SL2252				3				UB
YoRcaGUvnIE                 				SL2252				4				LB
LgiEuwgvr                   				SL2252				5				MB
yXdkygpHxzE                 				SL2252				6				UB
zW                          				SL2252				7				SL
CWl                         				SL2252				8				SU
xNQXtBreP                   				SL2252				9				LB
wd                          				SL2252				10				MB
UOhwFr                      				SL2252				11				UB
c                           				SL2252				12				LB
jCldyOyM                    				SL2252				13				MB
QGPEbZWON                   				SL2252				14				UB




PNR Number: 22517_20221101_0_2270_13				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

MLntvdI                     				SL2270				13				MB
ZrwabCtQoyBTb               				SL2270				14				UB
BoiJOZHyfL                  				SL2270				15				LB
MhPdInixY                   				SL2270				16				MB
TvNdmLiAoy                  				SL2270				17				UB
tmyNyAw                     				SL2270				18				SL
mMRO                        				SL2270				19				SU
ULbu                        				SL2270				20				LB
HijdmxkriQiSevg             				SL2270				21				MB
QLXWpZad                    				SL2270				22				UB




PNR Number: 22517_20221101_1_3050_11				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

n                           				AC3050				11				LB
bXMWVEV                     				AC3050				12				UB
DbfDxYoTSYvcbdS             				AC3050				13				UB




PNR Number: 22517_20221101_1_3071_6				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

DvHzcKi                     				AC3071				6				UB
PlSfspcmtcLulW              				AC3071				7				UB
eKRnCYoFi                   				AC3071				8				SL
o                           				AC3071				9				SU
aKhYtXWP                    				AC3071				10				LB
VX                          				AC3071				11				LB
xiYORBXwZSGrsjTj            				AC3071				12				UB
SfPuzXqRja                  				AC3071				13				UB
UPhesfBARHIyYH              				AC3071				14				SL
RxiXDJ                      				AC3071				15				SU
jZjbjyu                     				AC3071				16				LB
nBlPmIblvzK                 				AC3071				17				LB
zw                          				AC3071				18				UB
jxDCeS                      				AC3072				1				UB
NJZLnYFAMXLFlH              				AC3072				2				SL
bBXJ                        				AC3072				3				SU
r                           				AC3072				4				LB
bzx                         				AC3072				5				LB
FDz                         				AC3072				6				UB
ZIdDgmysnwCuFmAA            				AC3072				7				UB
hztlVBGnVMnwb               				AC3072				8				SL
JsPEXcJs                    				AC3072				9				SU
Uerxj                       				AC3072				10				LB
zKBgz                       				AC3072				11				LB
IQDkbOAvzNAPCOe             				AC3072				12				UB
RbuXKQ                      				AC3072				13				UB
kSlJyt                      				AC3072				14				SL
KhxKZNWA                    				AC3072				15				SU
ERoyaKYKuFjRbO              				AC3072				16				LB
W                           				AC3072				17				LB
IuuYtydNcK                  				AC3072				18				UB
Qn                          				AC3073				1				UB
uvWLVVfxThWP                				AC3073				2				SL




PNR Number: 4652_20221101_0_2168_24				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

iheKmJWemwfzOl              				SL2168				24				MB
LuskRDJGsivciOK             				SL2169				1				LB
BdZOgCjiDrKlPZM             				SL2169				2				MB
PXIyClxiGJDuN               				SL2169				3				UB
BpP                         				SL2169				4				LB
pFaPdZzmVcQwQT              				SL2169				5				MB
HSdHy                       				SL2169				6				UB
ryQulOLgAuK                 				SL2169				7				SL
hamUhAxeC                   				SL2169				8				SU
iScNJgywoKWfhsW             				SL2169				9				LB
Nt                          				SL2169				10				MB
l                           				SL2169				11				UB
kOxqfJtmgrixnGkM            				SL2169				12				LB
NrRwUQkHr                   				SL2169				13				MB
SpNFZsEvnFUi                				SL2169				14				UB
LomSDgdwGVtIU               				SL2169				15				LB
hUgGnUZ                     				SL2169				16				MB
vHNXIgt                     				SL2169				17				UB
lvdVid                      				SL2169				18				SL
xbrKNKFnKjRJHYF             				SL2169				19				SU
jnmmeDNvmdCX                				SL2169				20				LB




PNR Number: 4652_20221101_0_2172_17				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

dFwdCtOeoJ                  				SL2172				17				UB
ByxICqSso                   				SL2172				18				SL
xfgSfcgKqf                  				SL2172				19				SU
UdNcJxozaQvMEX              				SL2172				20				LB
OWWnGzeQluNnC               				SL2172				21				MB
JncCYmeXtA                  				SL2172				22				UB
FCYpTFqFTH                  				SL2172				23				LB
SczHUrcaN                   				SL2172				24				MB
fYFonljQujpPKVY             				SL2173				1				LB
kG                          				SL2173				2				MB
p                           				SL2173				3				UB
pEoNwj                      				SL2173				4				LB
JVACXuQeggemIqmH            				SL2173				5				MB
xIcTusxrOzSSd               				SL2173				6				UB
XhqzFMQoEkp                 				SL2173				7				SL
VfjdiiKvaCSdDjQ             				SL2173				8				SU
JcwKdRMCGr                  				SL2173				9				LB
MSiddGH                     				SL2173				10				MB
z                           				SL2173				11				UB
OLnbdiVEAmItfTm             				SL2173				12				LB
iyQUsSzP                    				SL2173				13				MB
OwSQYZ                      				SL2173				14				UB
JzopPh                      				SL2173				15				LB
HPOQWpWRfkgxehaL            				SL2173				16				MB
Gl                          				SL2173				17				UB
eXC                         				SL2173				18				SL
xLuilN                      				SL2173				19				SU
kKxielHKfysZ                				SL2173				20				LB
mmeVBaLBNhMxAhKf            				SL2173				21				MB
Gk                          				SL2173				22				UB
t                           				SL2173				23				LB
r                           				SL2173				24				MB
afyQBWB                     				SL2174				1				LB
WeUGrdS                     				SL2174				2				MB
KDZnZUaq                    				SL2174				3				UB
rchHazLqKoD                 				SL2174				4				LB
NqrLBIYqsOy                 				SL2174				5				MB
yGSfeo                      				SL2174				6				UB




PNR Number: 22517_20221101_1_3106_5				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

gKjEuRvRDyaMesL             				AC3106				5				LB
JsGZtYJNSPE                 				AC3106				6				UB
SVYuUWVULEM                 				AC3106				7				UB
Zl                          				AC3106				8				SL
wDVtrWB                     				AC3106				9				SU
RYURc                       				AC3106				10				LB
vn                          				AC3106				11				LB
rrW                         				AC3106				12				UB
AYlaOhf                     				AC3106				13				UB
b                           				AC3106				14				SL
QT                          				AC3106				15				SU
pFaIWdDH                    				AC3106				16				LB
NiePYriiyregGaz             				AC3106				17				LB
SJI                         				AC3106				18				UB
XbVuvRBwWtNeDXl             				AC3107				1				UB
usBa                        				AC3107				2				SL
ZhTkXiYtUUtVPBI             				AC3107				3				SU
eybpFTItORVOPtvM            				AC3107				4				LB




PNR Number: 4652_20221101_0_2188_9				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

LIlkPw                      				SL2188				9				LB
mqguvNQc                    				SL2188				10				MB
yzDhZtpxjHz                 				SL2188				11				UB
wcyLMQBZ                    				SL2188				12				LB
hgSuwlZgPuqKy               				SL2188				13				MB
xineUqaK                    				SL2188				14				UB
bpJKEvhQXzAkgXQv            				SL2188				15				LB
gTKvpzVQpGwG                				SL2188				16				MB
I                           				SL2188				17				UB
ItMZm                       				SL2188				18				SL
JisWT                       				SL2188				19				SU
zXLzpZvEi                   				SL2188				20				LB
jexYvYvHl                   				SL2188				21				MB
DOycAIgILANqL               				SL2188				22				UB
CKmXUHHaWfEtrpkw            				SL2188				23				LB
BdIME                       				SL2188				24				MB
OnuYRpHHizGTn               				SL2189				1				LB
vj                          				SL2189				2				MB
FRyCWHXDRHeGYYU             				SL2189				3				UB
SUciTMWmpdr                 				SL2189				4				LB
GUfCESeHQwWyNQm             				SL2189				5				MB
OiXQHMUMndNnf               				SL2189				6				UB
mDWZEnJEYXHARM              				SL2189				7				SL
xyhhmDKzYAmeugO             				SL2189				8				SU
hIFTXrPvtf                  				SL2189				9				LB
nQWfTDzeC                   				SL2189				10				MB
IejKVsHUr                   				SL2189				11				UB
lMFviNrF                    				SL2189				12				LB
GMbwfm                      				SL2189				13				MB
UHDfwZKJGLjBQq              				SL2189				14				UB
HSbEOTJ                     				SL2189				15				LB
xalRZkiUjc                  				SL2189				16				MB
rZJKXobzuoV                 				SL2189				17				UB
seBWhphWLEonSSK             				SL2189				18				SL
ykeOvDDsQXjdGaX             				SL2189				19				SU
DuEcyyshcRTkA               				SL2189				20				LB
F                           				SL2189				21				MB
M                           				SL2189				22				UB
MEnnnaHtqajqqDZL            				SL2189				23				LB




PNR Number: 22517_20221101_0_2344_11				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

wepFhzvUgjk                 				SL2344				11				UB
ekUf                        				SL2344				12				LB
XlbfVWt                     				SL2344				13				MB
mQQYZq                      				SL2344				14				UB
zNzhDwL                     				SL2344				15				LB
Exi                         				SL2344				16				MB
OoajzIVwuBgTHWB             				SL2344				17				UB
EfSwvjKFatWjRvq             				SL2344				18				SL
wN                          				SL2344				19				SU
OQkqzagdyedk                				SL2344				20				LB
wMxLZCvMbzFsT               				SL2344				21				MB
KgobUpatNBog                				SL2344				22				UB
asFeRSlUIg                  				SL2344				23				LB
fcrFUaUGnWMoKF              				SL2344				24				MB
dxlQVZl                     				SL2345				1				LB




PNR Number: 22517_20221101_1_3131_7				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

maktN                       				AC3131				7				UB
fyhwSm                      				AC3131				8				SL
PRR                         				AC3131				9				SU
fLDasVgdWQk                 				AC3131				10				LB
ISUfOaFECmySfBBm            				AC3131				11				LB
iajCQlUkPdCE                				AC3131				12				UB
MCTVHhWLNm                  				AC3131				13				UB
J                           				AC3131				14				SL
W                           				AC3131				15				SU
OhqftjkXhS                  				AC3131				16				LB
lPgDQWM                     				AC3131				17				LB
lqhaTuRXtvBlKYLy            				AC3131				18				UB
elCyvOzP                    				AC3132				1				UB
fmxBUkpUKuMnw               				AC3132				2				SL
kvwWhkfOtL                  				AC3132				3				SU
sVsBUQhxrWc                 				AC3132				4				LB
AsSRvubhClg                 				AC3132				5				LB
RgeFthi                     				AC3132				6				UB
LHFjVJuN                    				AC3132				7				UB
DZmvpVa                     				AC3132				8				SL
obRWRkYWHyeltE              				AC3132				9				SU
yeVUjAtJZuhxKsXG            				AC3132				10				LB
OTrWJxTbkRbquWjk            				AC3132				11				LB
uZOQfCuRQNvFWhB             				AC3132				12				UB
vWCRBaXVNfHO                				AC3132				13				UB
dJSPZ                       				AC3132				14				SL
IhytFlevBESt                				AC3132				15				SU
tpTerQnyWEcnR               				AC3132				16				LB
wwqXvlq                     				AC3132				17				LB
jyGaExt                     				AC3132				18				UB
