PNR Number: 4652_20221101_1_2910_6				Train Number :4652				Date of Journey:2022-11-01
RO                          				SL2162				17				UB




PNR Number: 4652_20221101_0_2082_1				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

RP                          				SL2082				1				LB
dxKhDEFQuedhbCL             				SL2082				2				MB
OvTEisCC                    				SL2082				3				UB
ZYINyjnHq                   				SL2082				4				LB
urbC                        				SL2082				5				MB
GhExHXGiCen                 				SL2082				6				UB
nChWhHiYPLIKn               				SL2082				7				SL




PNR Number: 4652_20221101_1_2972_18				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ZZAZueHguykh                				AC2972				18				UB
SsAUMlcByPmuQop             				AC2973				1				UB
vLqtC                       				AC2973				2				SL
BfIhgpNcH                   				AC2973				3				SU
MAgNvGNys                   				AC2973				4				LB
rCGPDvCkCFmrg               				AC2973				5				LB
EjGjJSDDqPCwgIa             				AC2973				6				UB
upoVmOMcE                   				AC2973				7				UB
mLikasBisxBLOr              				AC2973				8				SL
BzqQ                        				AC2973				9				SU
BqOulq                      				AC2973				10				LB
o                           				AC2973				11				LB
GWPxAwgm                    				AC2973				12				UB
a                           				AC2973				13				UB
kKzJeJCOgdAaE               				AC2973				14				SL
LYhHkY                      				AC2973				15				SU
LjiOqQEmPZ                  				AC2973				16				LB
vgexYDRMcQtMD               				AC2973				17				LB
VML                         				AC2973				18				UB
QQL                         				AC2974				1				UB




PNR Number: 22517_20221101_0_2172_17				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

BzfctFbHAz                  				SL2172				17				UB
KKzsUDkZh                   				SL2172				18				SL
ziaucJTAxYbE                				SL2172				19				SU
XOZyzlRwu                   				SL2172				20				LB
KhjnYmyTcsP                 				SL2172				21				MB
g                           				SL2172				22				UB
kRoeyLmEoXk                 				SL2172				23				LB
SfgqHXZ                     				SL2172				24				MB
EIEerhmuUElufrg             				SL2173				1				LB
szasWMaBPWqiaNWA            				SL2173				2				MB
uAAGmVoYduWxsr              				SL2173				3				UB
XTfmUlkrweVUbmv             				SL2173				4				LB
jmmxEFvKUrS                 				SL2173				5				MB
B                           				SL2173				6				UB
rP                          				SL2173				7				SL
Of                          				SL2173				8				SU
bNmmvncstShxD               				SL2173				9				LB
rEvuN                       				SL2173				10				MB
wnQeW                       				SL2173				11				UB
E                           				SL2173				12				LB
UyhQzQDZjlooMm              				SL2173				13				MB




PNR Number: 4652_20221101_1_2991_1				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

KsVkYGuGvKA                 				AC2991				1				UB
Adk                         				AC2991				2				SL
Rf                          				AC2991				3				SU
OevLjSBpkHcOH               				AC2991				4				LB
NFNaRNyjxJt                 				AC2991				5				LB
fPKNZ                       				AC2991				6				UB
xW                          				AC2991				7				UB
xixQIVnJTZO                 				AC2991				8				SL
yhnRWNRQnHml                				AC2991				9				SU
PrWcIwRPyjSFzLKG            				AC2991				10				LB
cxrpDb                      				AC2991				11				LB
UFkJfkVGXtP                 				AC2991				12				UB
EawNeolR                    				AC2991				13				UB
qZCYGjclyHfnxC              				AC2991				14				SL
oVSCLq                      				AC2991				15				SU
KnCJrTmGrrhoRxnj            				AC2991				16				LB
AXuLYTgo                    				AC2991				17				LB
q                           				AC2991				18				UB
GhDG                        				AC2992				1				UB
SvNDw                       				AC2992				2				SL
oEdJRm                      				AC2992				3				SU
kFdBoYhlwXdHHexj            				AC2992				4				LB
FE                          				AC2992				5				LB
kyodZYrXMOJU                				AC2992				6				UB
XufTZu                      				AC2992				7				UB
hnFb                        				AC2992				8				SL
aDp                         				AC2992				9				SU
WpF                         				AC2992				10				LB
VstdjaSDZQaExOWI            				AC2992				11				LB
TSScjf                      				AC2992				12				UB
QGDWJIEfBuK                 				AC2992				13				UB
zTLr                        				AC2992				14				SL
PUNFdlkJMwgkEA              				AC2992				15				SU
DUKIvSAEZY                  				AC2992				16				LB
dDnOiUqKHBHuDesc            				AC2992				17				LB
pqRNFiFKC                   				AC2992				18				UB
NQnm                        				AC2993				1				UB
dK                          				AC2993				2				SL
XIjWAGddC                   				AC2993				3				SU




PNR Number: 4652_20221101_0_2095_20				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

mPfAIuhPcUceq               				SL2095				20				LB
XNilyXXkgWGsjcKn            				SL2095				21				MB
tlv                         				SL2095				22				UB
V                           				SL2095				23				LB
mbzlYNQVUvNWMZG             				SL2095				24				MB
pyhQ                        				SL2096				1				LB
A                           				SL2096				2				MB
ipZ                         				SL2096				3				UB
UMgVa                       				SL2096				4				LB
OqstnnNAUiraMk              				SL2096				5				MB
CgtDoudEZvfIP               				SL2096				6				UB
QShTufVfh                   				SL2096				7				SL
vSsQOHuaYCyw                				SL2096				8				SU
Argqdgf                     				SL2096				9				LB
OnFZjJTWKYEuXxT             				SL2096				10				MB
fxMeR                       				SL2096				11				UB
NVSDmEqll                   				SL2096				12				LB
CcY                         				SL2096				13				MB
lAdBYImTMujK                				SL2096				14				UB
rQCS                        				SL2096				15				LB
tMQaqzd                     				SL2096				16				MB
rbCYYhcmFtVolhWL            				SL2096				17				UB
M                           				SL2096				18				SL
SEEyVHisNmh                 				SL2096				19				SU
UXyaogRUbFMJP               				SL2096				20				LB
PMNtZSUVaBwM                				SL2096				21				MB
dnGCMjadSsbX                				SL2096				22				UB
amBqqEx                     				SL2096				23				LB
ncJjVPsVLauWVojP            				SL2096				24				MB
sBhm                        				SL2097				1				LB
uzzMOXpSn                   				SL2097				2				MB
DUPvqJSQLQeCjC              				SL2097				3				UB
AylphASiL                   				SL2097				4				LB
ZtRIjPtEvaSg                				SL2097				5				MB
IviiJfqQxIqLtFUi            				SL2097				6				UB
kG                          				SL2097				7				SL
ZaIgmSzYvFKrp               				SL2097				8				SU




PNR Number: 4652_20221101_1_3024_11				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

mZhutvtHoJYkr               				AC3024				11				LB




PNR Number: 4652_20221101_1_3024_12				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ukrMhudqe                   				AC3024				12				UB
FevCQPGnfRQEhG              				AC3024				13				UB
x                           				AC3024				14				SL
yePyCrWeLR                  				AC3024				15				SU
dbKIkPyYMtV                 				AC3024				16				LB
MGGbDrknYBQBS               				AC3024				17				LB
diRNNZE                     				AC3024				18				UB
CXHFX                       				AC3025				1				UB
WGiozZswNrVM                				AC3025				2				SL
RSvZEBqqXY                  				AC3025				3				SU
TSyQHke                     				AC3025				4				LB
QojmPyfGN                   				AC3025				5				LB
IeFq                        				AC3025				6				UB
SdufqP                      				AC3025				7				UB
Gx                          				AC3025				8				SL
RvxrP                       				AC3025				9				SU
IBqKzAlZ                    				AC3025				10				LB
Osxv                        				AC3025				11				LB
s                           				AC3025				12				UB
XQufaRlZmbiE                				AC3025				13				UB
HJbjQ                       				AC3025				14				SL
R                           				AC3025				15				SU
xvArP                       				AC3025				16				LB
fOjHKYFuNJBRjXJG            				AC3025				17				LB
uCpTLnSxlgfWA               				AC3025				18				UB
ln                          				AC3026				1				UB
HcsvdTWvMawbN               				AC3026				2				SL
V                           				AC3026				3				SU




PNR Number: 4652_20221101_0_2110_22				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

MeSb                        				SL2110				22				UB
aAzjdDEuoIqDF               				SL2110				23				LB
hWLVECOH                    				SL2110				24				MB
TBRmDD                      				SL2111				1				LB
Zpg                         				SL2111				2				MB
FUhDbGUqySZTtdt             				SL2111				3				UB
an                          				SL2111				4				LB
ElmeXuIXMYQIfF              				SL2111				5				MB
IDdbmtPBzR                  				SL2111				6				UB
DH                          				SL2111				7				SL
gdyguFZSj                   				SL2111				8				SU
Hh                          				SL2111				9				LB
XC                          				SL2111				10				MB
dQXGqxxMgJaZx               				SL2111				11				UB
OhVFcDUUXHS                 				SL2111				12				LB
KDXlzMdm                    				SL2111				13				MB
PcJnimBP                    				SL2111				14				UB




PNR Number: 4652_20221101_1_3030_8				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ry                          				AC3030				8				SL
uR                          				AC3030				9				SU
hSVOygOlyDVtlAh             				AC3030				10				LB
rwFGLymlpqOIKf              				AC3030				11				LB
mwJnvqsZUKCX                				AC3030				12				UB
Mf                          				AC3030				13				UB
xKcPnGAgosXZEC              				AC3030				14				SL
kFTpJfWa                    				AC3030				15				SU
gnaNAzWjaNzLZR              				AC3030				16				LB
d                           				AC3030				17				LB
RIxSuQQROjYqGHK             				AC3030				18				UB
Vv                          				AC3031				1				UB
qzEGVe                      				AC3031				2				SL
bnPngrSlMkb                 				AC3031				3				SU
ah                          				AC3031				4				LB
reU                         				AC3031				5				LB
MrIljNMFTZZJ                				AC3031				6				UB
qRjDd                       				AC3031				7				UB
uR                          				AC3031				8				SL
tmNHGNXVSNvEsanw            				AC3031				9				SU
nxTFpGAeEoeJjWrw            				AC3031				10				LB
RzrZRLKVrglI                				AC3031				11				LB
QamaEH                      				AC3031				12				UB
EbENGzOSflMt                				AC3031				13				UB
eRtuWOeBRuEXC               				AC3031				14				SL
peSQex                      				AC3031				15				SU
mbt                         				AC3031				16				LB
LLnLsubGQtAW                				AC3031				17				LB
VMBdzc                      				AC3031				18				UB
vZYudLcobm                  				AC3032				1				UB
AaFXQVZkSOZKBkd             				AC3032				2				SL
UYA                         				AC3032				3				SU
TuEPWMm                     				AC3032				4				LB
YkGZcVsdNuzcLM              				AC3032				5				LB
BlYuaQskPeTN                				AC3032				6				UB
jLIo                        				AC3032				7				UB
wkRyeOHKbfOxit              				AC3032				8				SL
oYSRzazDNKdHOKpE            				AC3032				9				SU
mkB                         				AC3032				10				LB




PNR Number: 4652_20221101_1_3045_18				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

LDHZRQf                     				AC3045				18				UB
JvptxJerdarZx               				AC3046				1				UB
HpZAYfr                     				AC3046				2				SL
qOfFXnRjGgdE                				AC3046				3				SU
Nl                          				AC3046				4				LB
KJZ                         				AC3046				5				LB
ZfQqotpNDMk                 				AC3046				6				UB
JjBumZPXSC                  				AC3046				7				UB
XKNmjwf                     				AC3046				8				SL
DIUiQogchFVp                				AC3046				9				SU
yMliogjQRHKM                				AC3046				10				LB
bnXKRorVOdfDc               				AC3046				11				LB
XZjWNmkcSSw                 				AC3046				12				UB
qpRSvOQaVBzK                				AC3046				13				UB
orJ                         				AC3046				14				SL




PNR Number: 22517_20221101_1_3002_1				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

JNYKuoTMt                   				AC3002				1				UB
hSlYqDZuKR                  				AC3002				2				SL
IcWbuiPSIEqPGtSE            				AC3002				3				SU
bXpCTkPbzEF                 				AC3002				4				LB
qzvXPkFBJw                  				AC3002				5				LB
SNyeohpEuJ                  				AC3002				6				UB
jxWzg                       				AC3002				7				UB
My                          				AC3002				8				SL
i                           				AC3002				9				SU
kOUQkRdqJtnFw               				AC3002				10				LB
z                           				AC3002				11				LB
FwDbwUi                     				AC3002				12				UB
dNIsrbpaFJSWOB              				AC3002				13				UB
tZjSVM                      				AC3002				14				SL
kznwSkPyoz                  				AC3002				15				SU
YjdbUHUMQm                  				AC3002				16				LB
PgSchzx                     				AC3002				17				LB




PNR Number: 22517_20221101_1_3014_14				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

NAxrs                       				AC3014				14				SL
ZPkk                        				AC3014				15				SU
DoCRqJsdLtfIvfcK            				AC3014				16				LB
PMbJB                       				AC3014				17				LB
lEvtxq                      				AC3014				18				UB
ibkqDJiuZHDGjc              				AC3015				1				UB
bfYystZJYNR                 				AC3015				2				SL
cIfOFFWB                    				AC3015				3				SU
g                           				AC3015				4				LB
CXkivWwjaZ                  				AC3015				5				LB
ORrFvmycViuOEVbX            				AC3015				6				UB
swpgDgBkbP                  				AC3015				7				UB
FCvSoftsTmWYHDXd            				AC3015				8				SL
blRzPgFggkyVJZ              				AC3015				9				SU
VuCO                        				AC3015				10				LB
snnAmAhvVb                  				AC3015				11				LB
krZZigIJetx                 				AC3015				12				UB
Clqda                       				AC3015				13				UB
UGI                         				AC3015				14				SL
WQsGcMjurbzHVz              				AC3015				15				SU
hyn                         				AC3015				16				LB
cj                          				AC3015				17				LB
kTcwoi                      				AC3015				18				UB
sgsAsucfiAzATl              				AC3016				1				UB
TPGBobVzcwUYk               				AC3016				2				SL
zjCtCZS                     				AC3016				3				SU
vzVAycppLZ                  				AC3016				4				LB
tGrUHXIf                    				AC3016				5				LB
HLNEU                       				AC3016				6				UB
uYfXn                       				AC3016				7				UB
IjxfEGeXJadDm               				AC3016				8				SL
SmC                         				AC3016				9				SU
xKCJtz                      				AC3016				10				LB
rluuGXPXaDz                 				AC3016				11				LB
ggpX                        				AC3016				12				UB
UJPtMjYzcqJve               				AC3016				13				UB
N                           				AC3016				14				SL
xvgebMxM                    				AC3016				15				SU
yuPju                       				AC3016				16				LB




PNR Number: 4652_20221101_1_3093_1				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

uxpeFzeViM                  				AC3093				1				UB
yqmXeklG                    				AC3093				2				SL
CI                          				AC3093				3				SU
hwKaFwISlL                  				AC3093				4				LB
IOiBpuaTdeBBifp             				AC3093				5				LB
HkGixtdPjimMXpnu            				AC3093				6				UB
PuokJKR                     				AC3093				7				UB
xnnOvxTdTHiTALD             				AC3093				8				SL
tGabb                       				AC3093				9				SU
srgsSr                      				AC3093				10				LB
YeTzUckDVesT                				AC3093				11				LB
Mw                          				AC3093				12				UB
iKZIHVoGXnsW                				AC3093				13				UB
ZE                          				AC3093				14				SL
mLlotQjv                    				AC3093				15				SU
JYARKzoCiDgLz               				AC3093				16				LB
LJfWnUVCDlQYca              				AC3093				17				LB
ZsBKmT                      				AC3093				18				UB
nJmGMc                      				AC3094				1				UB
dfUgcPDmUkppgD              				AC3094				2				SL
dJI                         				AC3094				3				SU
TkGeXn                      				AC3094				4				LB
bTgLPy                      				AC3094				5				LB
jVTnWVKLzoWcnww             				AC3094				6				UB
uLIVweENv                   				AC3094				7				UB
CdBMZZdYLXisW               				AC3094				8				SL




PNR Number: 4652_20221101_1_3109_18				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

a                           				AC3109				18				UB
deSDVj                      				AC3110				1				UB
mMlXawMPKHGUZc              				AC3110				2				SL
MJHvoNF                     				AC3110				3				SU
JHZEYbUPvDz                 				AC3110				4				LB
XwMUtk                      				AC3110				5				LB
oDIqIlcWR                   				AC3110				6				UB
QyGlp                       				AC3110				7				UB
fgtSVENgN                   				AC3110				8				SL
bRGpkmNio                   				AC3110				9				SU
bfopt                       				AC3110				10				LB
HTCFwxMkUwuGw               				AC3110				11				LB
ratVNDvop                   				AC3110				12				UB
LE                          				AC3110				13				UB
Rm                          				AC3110				14				SL
WVfZPcyXH                   				AC3110				15				SU
zc                          				AC3110				16				LB
wQF                         				AC3110				17				LB
TmzHYVBo                    				AC3110				18				UB
ANxuVlXCDnfb                				AC3111				1				UB
hctXNvf                     				AC3111				2				SL
vPtlmIyMBOfDyMH             				AC3111				3				SU
yr                          				AC3111				4				LB
HDSYXCcse                   				AC3111				5				LB
I                           				AC3111				6				UB
cGliQKfcOKOTI               				AC3111				7				UB
pAXGdcPWs                   				AC3111				8				SL
AXpuenKwJqfmrU              				AC3111				9				SU
yACBROPhd                   				AC3111				10				LB
IJFajGzGEbQffYm             				AC3111				11				LB




PNR Number: 22517_20221101_0_2344_10				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

svN                         				SL2344				10				MB




PNR Number: 22517_20221101_0_2350_8				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

AkSDDShf                    				SL2350				8				SU
r                           				SL2350				9				LB
tupdJVAWujBqcNJN            				SL2350				10				MB
CzI                         				SL2350				11				UB
zqreGV                      				SL2350				12				LB
N                           				SL2350				13				MB
gBlzvAMdPFZmO               				SL2350				14				UB
Ybqal                       				SL2350				15				LB
LnorSSjmuqlnT               				SL2350				16				MB
fz                          				SL2350				17				UB
iPoXuaBkZiGYN               				SL2350				18				SL
fqReUzFmONYNOgaA            				SL2350				19				SU
MpNCSd                      				SL2350				20				LB
ZSqHpBgDwDfWu               				SL2350				21				MB
GvrKDnq                     				SL2350				22				UB
BZ                          				SL2350				23				LB
TdyRiNIHbhWoYdKK            				SL2350				24				MB
Lvy                         				SL2351				1				LB
btVnXcddadZlE               				SL2351				2				MB
VunOFTCPwgSKMu              				SL2351				3				UB
sH                          				SL2351				4				LB
FyzEsvwQE                   				SL2351				5				MB
Loc                         				SL2351				6				UB
MY                          				SL2351				7				SL
sLesgG                      				SL2351				8				SU




PNR Number: 22517_20221101_1_3146_18				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

CPrrfeUfuGkzzlqJ            				AC3146				18				UB
ERGEyXIMbV                  				AC3147				1				UB
iDWBC                       				AC3147				2				SL
tkgxzISBQYa                 				AC3147				3				SU




PNR Number: 4652_20221101_1_3193_6				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

ioIOelQtzXX                 				AC3193				6				UB
hccUgbbxuX                  				AC3193				7				UB
rLpEpTikmld                 				AC3193				8				SL
PrUVRKk                     				AC3193				9				SU
UFldcrTARWet                				AC3193				10				LB
lHuNuvBtTzTMx               				AC3193				11				LB
suk                         				AC3193				12				UB
qf                          				AC3193				13				UB
dnEQBiaGrE                  				AC3193				14				SL
WqfqHGoTSxxG                				AC3193				15				SU
tqAWnwYv                    				AC3193				16				LB
NwMHaIctySy                 				AC3193				17				LB
RFQJrApbKCT                 				AC3193				18				UB
RtYmSNXbSdTV                				AC3194				1				UB
zcLMVUGSUkDyccGk            				AC3194				2				SL
OATVhbU                     				AC3194				3				SU
WtxYLfNd                    				AC3194				4				LB
NuGbJ                       				AC3194				5				LB
SUN                         				AC3194				6				UB




PNR Number: 4652_20221101_1_3194_7				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

KFSzYo                      				AC3194				7				UB
CDFKgNrEQcwu                				AC3194				8				SL
fDmux                       				AC3194				9				SU
ZCcBAqnmMESWG               				AC3194				10				LB
Wsl                         				AC3194				11				LB
iHDZuV                      				AC3194				12				UB
MT                          				AC3194				13				UB
ZOdsvBv                     				AC3194				14				SL
eHRUVHICiaNPlQ              				AC3194				15				SU
DuRNXUaWgA                  				AC3194				16				LB
OfxBM                       				AC3194				17				LB
T                           				AC3194				18				UB
pu                          				AC3195				1				UB
PvcMFXnvJRbtS               				AC3195				2				SL
gySwoHAUhtH                 				AC3195				3				SU




PNR Number: 4652_20221101_0_2215_13				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

JV                          				SL2215				13				MB
xgKhQuLY                    				SL2215				14				UB
ZwnaLp                      				SL2215				15				LB
v                           				SL2215				16				MB
zuThbZYA                    				SL2215				17				UB
ZgLWjb                      				SL2215				18				SL
LFXdiQxdPrs                 				SL2215				19				SU
yhGZe                       				SL2215				20				LB
oedqoNm                     				SL2215				21				MB
gWwnoSOq                    				SL2215				22				UB
IjLqcmKFT                   				SL2215				23				LB
hESOEak                     				SL2215				24				MB
TIViNXGgjBIUP               				SL2216				1				LB
IfJetOY                     				SL2216				2				MB
BYcZcI                      				SL2216				3				UB
Gy                          				SL2216				4				LB
w                           				SL2216				5				MB
FvTYlVQfyHQI                				SL2216				6				UB
Bw                          				SL2216				7				SL
lXo                         				SL2216				8				SU
j                           				SL2216				9				LB
LRBIMI                      				SL2216				10				MB
VDqWUPddKYump               				SL2216				11				UB
YkDhrWJSxEew                				SL2216				12				LB
ILQvJBL                     				SL2216				13				MB
KckdqBsttsIYoj              				SL2216				14				UB
RlqjeYPIxO                  				SL2216				15				LB
iTXVrXdI                    				SL2216				16				MB
AdEOqRyfJHaSnxd             				SL2216				17				UB
TpVhfoYKsjhI                				SL2216				18				SL




PNR Number: 4652_20221101_1_3201_8				Train Number :4652				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

XCMBNjKtlnEkv               				AC3201				8				SL
tPwAWAq                     				AC3201				9				SU
IMwSwutNqNOlfQLO            				AC3201				10				LB
PM                          				AC3201				11				LB
Jmli                        				AC3201				12				UB
tlmFnctLGp                  				AC3201				13				UB
NtUbTLPOVFBIYz              				AC3201				14				SL
nlbEgSnUSipuO               				AC3201				15				SU
tUPbjMlMtPgOOUl             				AC3201				16				LB
duIPEcoCHju                 				AC3201				17				LB
todzHQPpONHYX               				AC3201				18				UB
awnYgbKiNUGdVYBZ            				AC3202				1				UB
XjmNqsqbsPch                				AC3202				2				SL
erALanLRLCzZWW              				AC3202				3				SU
ux                          				AC3202				4				LB
GKYXqWoUGCZM                				AC3202				5				LB
EyK                         				AC3202				6				UB
ggZpdwGQBSNeOi              				AC3202				7				UB
eRtbxirwVWY                 				AC3202				8				SL
TMcnJow                     				AC3202				9				SU
brAc                        				AC3202				10				LB
hAvIya                      				AC3202				11				LB
JfNAvbCGPAVrrp              				AC3202				12				UB




PNR Number: 22517_20221101_1_3163_11				Train Number :22517				Date of Journey:2022-11-01
	Passenger Name							Coach				Berth			Berth Type

oHwLUNJxNqQHr               				AC3163				11				LB
iKnxuirNgyBirXDw            				AC3163				12				UB
nhbjvAGmjjkbMItw            				AC3163				13				UB
hIpsOyGghoknXjuO            				AC3163				14				SL
YAYUOiUx                    				AC3163				15				SU
lkvyrjw                     				AC3163				16				LB
mgrjnoyrznE                 				AC3163				17				LB
sYelVUuoLmkBEEs             				AC3163				18				UB
XMMBZWcf                    				AC3164				1				UB
NTSmrEo                     				AC3164				2				SL
SwbOZUAf                    				AC3164				3				SU
oZGTmg                      				AC3164				4				LB
qqyDGZRI                    				AC3164				5				LB
omWMkswq                    				AC3164				6				UB
lDuZhdk                     				AC3164				7				UB
YeyEjOxymZlEXjgs            				AC3164				8				SL
msAvxhnY                    				AC3164				9				SU
OacLRxpebtOSlofN            				AC3164				10				LB
dEvgsK                      				AC3164				11				LB
QxAgjtFtni                  				AC3164				12				UB
qvxkazM                     				AC3164				13				UB
z                           				AC3164				14				SL
caxqbqW                     				AC3164				15				SU
IDQoqyfbmo                  				AC3164				16				LB
MRbOB                       				AC3164				17				LB
TImopDLZ                    				AC3164				18				UB
DvVBmIidxBwmpTE             				AC3165				1				UB
